==================================================================
  EXPERIMENT CONFIGURATIONS  (16 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               MIPGap=0.0

  Per-experiment parameters:
  Label               Solver                    weight_makespan  weight_delay  weight_movements  NoRelHeurTime  alpha  weight_topology  n_starts  seed
  ----------------------------------------------------------------------------------------------------------------------------------------------------
  milp_baseline       MILPSolver                0.1              1             10                0              —      —                —         —   
  topology_ms6        TopologyHeuristic         0.1              1             10                0              0.3    1                6         1   
  fas_on_topo         FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  safe_pipeline       FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  milp_baseline_heur  MILPSolver                0.1              1             10                30             —      —                —         —   
  topology_ms6_heur   TopologyHeuristic         0.1              1             10                30             0.3    1                6         1   
  fas_on_topo_heur    FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  safe_pipeline_heur  FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  milp_baseline_wB    MILPSolver                1                10            0.1               0              —      —                —         —   
  topology_ms6_wB     TopologyHeuristic         1                10            0.1               0              0.3    1                6         1   
  fas_on_topo_wB      FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  safe_pipeline_wB    FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  milp_baseline_wC    MILPSolver                10               0.1           1                 0              —      —                —         —   
  topology_ms6_wC     TopologyHeuristic         10               0.1           1                 0              0.3    1                6         1   
  fas_on_topo_wC      FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
  safe_pipeline_wC    FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  120 ok  /  40 failed  /  160 total
==================================================================
  Instance                      Experiment          Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ------------------------------------------------------------------------------------------------------------------------
  scn_full_tight_P5_R20_seed1   topology_ms6        topology (      953.18     130.97     940.08     0         -      70.1
  scn_full_tight_P5_R20_seed1   fas_on_topo         maxTimeLim      913.79     125.92     821.20     8    33.32%      60.3
  scn_full_tight_P5_R20_seed1   safe_pipeline       maxTimeLim      913.79     125.92     821.20     8         -       0.0
  scn_full_tight_P5_R20_seed1   topology_ms6_heur   topology (      953.18     130.97     940.08     0         -      63.8
  scn_full_tight_P5_R20_seed1   fas_on_topo_heur    maxTimeLim      913.79     125.92     821.20     8    33.43%      60.3
  scn_full_tight_P5_R20_seed1   safe_pipeline_heur  maxTimeLim      913.79     125.92     821.20     8         -       0.0
  scn_full_tight_P5_R20_seed1   topology_ms6_wB     topology (     6256.00      95.16     615.38    70         -      60.0
  scn_full_tight_P5_R20_seed1   fas_on_topo_wB      maxTimeLim     7690.81     120.72     756.59    42    25.30%      60.4
  scn_full_tight_P5_R20_seed1   safe_pipeline_wB    topology (     6256.00      95.16     615.38    70         -       0.0
  scn_full_tight_P5_R20_seed1   topology_ms6_wC     topology (     1064.20      94.32     629.62    58         -      65.3
  scn_full_tight_P5_R20_seed1   fas_on_topo_wC      maxTimeLim     1104.70     100.03     703.57    34     9.44%      60.2
  scn_full_tight_P5_R20_seed1   safe_pipeline_wC    topology (     1064.20      94.32     629.62    58         -       0.0
  scn_full_tight_P5_R20_seed10  topology_ms6        topology (      835.78     114.24     824.36     0         -      80.8
  scn_full_tight_P5_R20_seed10  fas_on_topo         maxTimeLim      975.15     137.52     901.40     6    62.59%      60.2
  scn_full_tight_P5_R20_seed10  safe_pipeline       topology (      835.78     114.24     824.36     0         -       0.0
  scn_full_tight_P5_R20_seed10  topology_ms6_heur   topology (      839.21     123.94     826.82     0         -      60.0
  scn_full_tight_P5_R20_seed10  fas_on_topo_heur    maxTimeLim      820.42     121.90     808.23     0    53.02%      60.3
  scn_full_tight_P5_R20_seed10  safe_pipeline_heur  maxTimeLim      820.42     121.90     808.23     0         -       0.0
  scn_full_tight_P5_R20_seed10  topology_ms6_wB     topology (     5527.58      94.36     542.62    70         -      65.5
  scn_full_tight_P5_R20_seed10  fas_on_topo_wB      maxTimeLim     7270.04     109.64     715.68    36    41.91%      60.3
  scn_full_tight_P5_R20_seed10  safe_pipeline_wB    topology (     5527.58      94.36     542.62    70         -       0.0
  scn_full_tight_P5_R20_seed10  topology_ms6_wC     topology (      999.47      87.64     551.23    68         -      67.2
  scn_full_tight_P5_R20_seed10  fas_on_topo_wC      maxTimeLim     1058.15      95.93     648.43    34    11.23%      60.2
