==================================================================
  EXPERIMENT CONFIGURATIONS  (16 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               MIPGap=0.0

  Per-experiment parameters:
  Label               Solver                    weight_makespan  weight_delay  weight_movements  NoRelHeurTime  alpha  weight_topology  n_starts  seed
  ----------------------------------------------------------------------------------------------------------------------------------------------------
  milp_baseline       MILPSolver                0.1              1             10                0              —      —                —         —   
  topology_ms6        TopologyHeuristic         0.1              1             10                0              0.3    1                6         1   
  fas_on_topo         FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  safe_pipeline       FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  milp_baseline_heur  MILPSolver                0.1              1             10                30             —      —                —         —   
  topology_ms6_heur   TopologyHeuristic         0.1              1             10                30             0.3    1                6         1   
  fas_on_topo_heur    FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  safe_pipeline_heur  FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  milp_baseline_wB    MILPSolver                1                10            0.1               0              —      —                —         —   
  topology_ms6_wB     TopologyHeuristic         1                10            0.1               0              0.3    1                6         1   
  fas_on_topo_wB      FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  safe_pipeline_wB    FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  milp_baseline_wC    MILPSolver                10               0.1           1                 0              —      —                —         —   
  topology_ms6_wC     TopologyHeuristic         10               0.1           1                 0              0.3    1                6         1   
  fas_on_topo_wC      FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
  safe_pipeline_wC    FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  160 ok  /  0 failed  /  160 total
==================================================================
  Instance                           Experiment          Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  -----------------------------------------------------------------------------------------------------------------------------
  scn_triangle_medium_P5_R10_seed1   milp_baseline       maxTimeLim      100.06      43.67      95.70     0    98.07%      64.6
  scn_triangle_medium_P5_R10_seed1   topology_ms6        topology (       91.44      41.01      87.34     0         -      60.0
  scn_triangle_medium_P5_R10_seed1   fas_on_topo         optimal          91.44      41.01      87.34     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed1   safe_pipeline       topology (       91.44      41.01      87.34     0         -       0.0
  scn_triangle_medium_P5_R10_seed1   milp_baseline_heur  maxTimeLim       94.55      43.33      90.22     0    97.96%      65.0
  scn_triangle_medium_P5_R10_seed1   topology_ms6_heur   topology (       91.44      41.01      87.34     0         -      60.0
  scn_triangle_medium_P5_R10_seed1   fas_on_topo_heur    optimal          91.44      41.01      87.34     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed1   safe_pipeline_heur  topology (       91.44      41.01      87.34     0         -       0.0
  scn_triangle_medium_P5_R10_seed1   milp_baseline_wB    maxTimeLim      996.60      45.84      95.08     0    98.06%      67.2
  scn_triangle_medium_P5_R10_seed1   topology_ms6_wB     topology (      886.01      41.01      84.44     6         -      60.0
  scn_triangle_medium_P5_R10_seed1   fas_on_topo_wB      optimal         904.74      42.69      86.12     8     0.00%       0.0
  scn_triangle_medium_P5_R10_seed1   safe_pipeline_wB    topology (      886.01      41.01      84.44     6         -       0.0
  scn_triangle_medium_P5_R10_seed1   milp_baseline_wC    maxTimeLim      418.92      41.01      88.60     0    53.85%      66.1
  scn_triangle_medium_P5_R10_seed1   topology_ms6_wC     topology (      422.53      41.01      84.71     4         -      60.0
  scn_triangle_medium_P5_R10_seed1   fas_on_topo_wC      optimal         418.66      41.01      85.98     0     0.00%       0.1
  scn_triangle_medium_P5_R10_seed1   safe_pipeline_wC    optimal         418.66      41.01      85.98     0         -       0.0
  scn_triangle_medium_P5_R10_seed10  milp_baseline       maxTimeLim       96.85      44.91      92.36     0    98.12%      67.0
  scn_triangle_medium_P5_R10_seed10  topology_ms6        topology (       91.14      41.67      86.97     0         -      60.0
  scn_triangle_medium_P5_R10_seed10  fas_on_topo         optimal          91.74      41.67      87.57     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed10  safe_pipeline       topology (       91.14      41.67      86.97     0         -       0.0
  scn_triangle_medium_P5_R10_seed10  milp_baseline_heur  maxTimeLim      174.85      78.37     167.01     0    98.96%      70.9
  scn_triangle_medium_P5_R10_seed10  topology_ms6_heur   topology (       91.14      41.67      86.97     0         -      60.0
  scn_triangle_medium_P5_R10_seed10  fas_on_topo_heur    optimal          91.74      41.67      87.57     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed10  safe_pipeline_heur  topology (       91.14      41.67      86.97     0         -       0.0
  scn_triangle_medium_P5_R10_seed10  milp_baseline_wB    maxTimeLim      963.39      42.45      92.03     6    98.11%      67.5
  scn_triangle_medium_P5_R10_seed10  topology_ms6_wB     topology (      890.42      41.59      84.82     6         -      60.0
  scn_triangle_medium_P5_R10_seed10  fas_on_topo_wB      optimal         916.53      42.45      87.35     6     0.00%       0.0
  scn_triangle_medium_P5_R10_seed10  safe_pipeline_wB    topology (      890.42      41.59      84.82     6         -       0.0
  scn_triangle_medium_P5_R10_seed10  milp_baseline_wC    maxTimeLim      426.93      41.72      97.05     0    57.27%      69.8
  scn_triangle_medium_P5_R10_seed10  topology_ms6_wC     topology (      419.24      40.67      84.87     4         -      60.0
  scn_triangle_medium_P5_R10_seed10  fas_on_topo_wC      optimal         419.71      40.67      89.55     4     0.00%       0.1
  scn_triangle_medium_P5_R10_seed10  safe_pipeline_wC    topology (      419.24      40.67      84.87     4         -       0.0
  scn_triangle_medium_P5_R10_seed2   milp_baseline       maxTimeLim       96.36      46.12      91.75     0    97.96%      65.8
  scn_triangle_medium_P5_R10_seed2   topology_ms6        topology (       92.70      45.77      88.13     0         -      60.0
  scn_triangle_medium_P5_R10_seed2   fas_on_topo         optimal          92.70      45.77      88.13     0     0.01%       0.1
  scn_triangle_medium_P5_R10_seed2   safe_pipeline       optimal          92.70      45.77      88.13     0         -       0.0
  scn_triangle_medium_P5_R10_seed2   milp_baseline_heur  maxTimeLim      124.51      60.47     118.46     0    98.42%      65.6
  scn_triangle_medium_P5_R10_seed2   topology_ms6_heur   topology (       94.02      43.85      89.64     0         -      60.0
  scn_triangle_medium_P5_R10_seed2   fas_on_topo_heur    optimal          94.02      43.85      89.64     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed2   safe_pipeline_heur  optimal          94.02      43.85      89.64     0         -       0.0
  scn_triangle_medium_P5_R10_seed2   milp_baseline_wB    maxTimeLim     1026.40      50.97      97.46     8    98.09%      69.1
  scn_triangle_medium_P5_R10_seed2   topology_ms6_wB     topology (      841.79      40.73      80.05     6         -      60.0
  scn_triangle_medium_P5_R10_seed2   fas_on_topo_wB      optimal        1089.15      44.98     104.36     6     0.00%       0.2
  scn_triangle_medium_P5_R10_seed2   safe_pipeline_wB    topology (      841.79      40.73      80.05     6         -       0.0
  scn_triangle_medium_P5_R10_seed2   milp_baseline_wC    maxTimeLim      421.54      40.73      82.85     6    53.44%      66.0
  scn_triangle_medium_P5_R10_seed2   topology_ms6_wC     topology (      419.29      40.73      80.30     4         -      60.0
  scn_triangle_medium_P5_R10_seed2   fas_on_topo_wC      optimal         424.81      41.08      99.72     4     0.00%       0.0
  scn_triangle_medium_P5_R10_seed2   safe_pipeline_wC    topology (      419.29      40.73      80.30     4         -       0.0
  scn_triangle_medium_P5_R10_seed3   milp_baseline       maxTimeLim       94.31      45.93      89.72     0    97.69%      66.7
  scn_triangle_medium_P5_R10_seed3   topology_ms6        topology (       97.40      50.21      92.38     0         -      60.0
  scn_triangle_medium_P5_R10_seed3   fas_on_topo         optimal          97.40      50.21      92.38     0     0.00%       0.0
  scn_triangle_medium_P5_R10_seed3   safe_pipeline       topology (       97.40      50.21      92.38     0         -       0.0
  scn_triangle_medium_P5_R10_seed3   milp_baseline_heur  maxTimeLim      117.94      60.24     111.92     0    98.15%      69.8
  scn_triangle_medium_P5_R10_seed3   topology_ms6_heur   topology (       91.65      46.24      87.02     0         -      60.0
  scn_triangle_medium_P5_R10_seed3   fas_on_topo_heur    optimal          91.65      46.24      87.02     0     0.01%       0.0
  scn_triangle_medium_P5_R10_seed3   safe_pipeline_heur  topology (       91.65      46.24      87.02     0         -       0.0
  scn_triangle_medium_P5_R10_seed3   milp_baseline_wB    maxTimeLim     1105.11      65.38     103.97     0    98.03%      66.6
  scn_triangle_medium_P5_R10_seed3   topology_ms6_wB     topology (      859.29      43.34      81.53     6         -      60.0
  scn_triangle_medium_P5_R10_seed3   fas_on_topo_wB      optimal         907.56      45.93      86.10     6     0.00%       0.1
  scn_triangle_medium_P5_R10_seed3   safe_pipeline_wB    topology (      859.29      43.34      81.53     6         -       0.0
  scn_triangle_medium_P5_R10_seed3   milp_baseline_wC    maxTimeLim      454.32      43.96     107.07     4    52.07%      66.1
  scn_triangle_medium_P5_R10_seed3   topology_ms6_wC     topology (      445.56      43.34      81.73     4         -      60.0
