==================================================================
  EXPERIMENT CONFIGURATIONS  (16 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               MIPGap=0.0

  Per-experiment parameters:
  Label               Solver                    weight_makespan  weight_delay  weight_movements  NoRelHeurTime  alpha  weight_topology  n_starts  seed
  ----------------------------------------------------------------------------------------------------------------------------------------------------
  milp_baseline       MILPSolver                0.1              1             10                0              —      —                —         —   
  topology_ms6        TopologyHeuristic         0.1              1             10                0              0.3    1                6         1   
  fas_on_topo         FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  safe_pipeline       FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  milp_baseline_heur  MILPSolver                0.1              1             10                30             —      —                —         —   
  topology_ms6_heur   TopologyHeuristic         0.1              1             10                30             0.3    1                6         1   
  fas_on_topo_heur    FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  safe_pipeline_heur  FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  milp_baseline_wB    MILPSolver                1                10            0.1               0              —      —                —         —   
  topology_ms6_wB     TopologyHeuristic         1                10            0.1               0              0.3    1                6         1   
  fas_on_topo_wB      FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  safe_pipeline_wB    FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  milp_baseline_wC    MILPSolver                10               0.1           1                 0              —      —                —         —   
  topology_ms6_wC     TopologyHeuristic         10               0.1           1                 0              0.3    1                6         1   
  fas_on_topo_wC      FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
  safe_pipeline_wC    FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  160 ok  /  0 failed  /  160 total
==================================================================
  Instance                          Experiment          Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ----------------------------------------------------------------------------------------------------------------------------
  scn_triangle_tight_P5_R10_seed1   milp_baseline       maxTimeLim      118.09      43.33     113.76     0    98.36%      65.6
  scn_triangle_tight_P5_R10_seed1   topology_ms6        topology (      116.75      42.42     112.51     0         -      60.0
  scn_triangle_tight_P5_R10_seed1   fas_on_topo         optimal         116.75      42.42     112.51     0     0.00%       0.0
  scn_triangle_tight_P5_R10_seed1   safe_pipeline       optimal         116.75      42.42     112.51     0         -       0.0
  scn_triangle_tight_P5_R10_seed1   milp_baseline_heur  maxTimeLim      128.49      45.64     123.92     0    98.50%      66.3
  scn_triangle_tight_P5_R10_seed1   topology_ms6_heur   topology (      118.16      42.42     113.91     0         -      60.0
  scn_triangle_tight_P5_R10_seed1   fas_on_topo_heur    optimal         118.15      42.42     113.91     0     0.00%       0.0
  scn_triangle_tight_P5_R10_seed1   safe_pipeline_heur  optimal         118.15      42.42     113.91     0         -       0.0
  scn_triangle_tight_P5_R10_seed1   milp_baseline_wB    maxTimeLim     1266.46      43.67     122.22     6    98.47%      68.8
  scn_triangle_tight_P5_R10_seed1   topology_ms6_wB     topology (     1154.82      42.42     111.18     6         -      60.0
  scn_triangle_tight_P5_R10_seed1   fas_on_topo_wB      optimal        1154.82      42.42     111.18     6     0.00%       0.1
  scn_triangle_tight_P5_R10_seed1   safe_pipeline_wB    topology (     1154.82      42.42     111.18     6         -       0.0
  scn_triangle_tight_P5_R10_seed1   milp_baseline_wC    maxTimeLim      426.56      41.01     125.03     4    54.67%      65.8
  scn_triangle_tight_P5_R10_seed1   topology_ms6_wC     topology (      422.40      41.01     123.39     0         -      60.0
  scn_triangle_tight_P5_R10_seed1   fas_on_topo_wC      optimal         422.03      41.01     119.74     0     0.00%       0.0
