==================================================================
  EXPERIMENT CONFIGURATIONS  (12 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label             Solver                    weight_makespan  weight_delay  weight_movements  alpha  weight_topology  n_starts  seed
  -----------------------------------------------------------------------------------------------------------------------------------
  milp_baseline     MILPSolver                0.1              1             10                —      —                —         —   
  topology_ms6      TopologyHeuristic         0.1              1             10                0.3    1                6         1   
  fas_on_topo       FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  safe_pipeline     FixedAssignmentScheduler  0.1              1             10                —      —                —         —   
  milp_baseline_wB  MILPSolver                1                10            0.1               —      —                —         —   
  topology_ms6_wB   TopologyHeuristic         1                10            0.1               0.3    1                6         1   
  fas_on_topo_wB    FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  safe_pipeline_wB  FixedAssignmentScheduler  1                10            0.1               —      —                —         —   
  milp_baseline_wC  MILPSolver                10               0.1           1                 —      —                —         —   
  topology_ms6_wC   TopologyHeuristic         10               0.1           1                 0.3    1                6         1   
  fas_on_topo_wC    FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
  safe_pipeline_wC  FixedAssignmentScheduler  10               0.1           1                 —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  135 ok  /  9 failed  /  144 total
==================================================================
  Instance                          Experiment        Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  --------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed2      milp_baseline     maxTimeLim      251.75      97.50     222.00     2    98.13%      65.8
  scn_chain_tight_P5_R10_seed2      topology_ms6      topology (      194.80      98.00     185.00     0         -      60.0
  scn_chain_tight_P5_R10_seed2      fas_on_topo       optimal         194.80      98.00     185.00     0     0.00%       0.1
  scn_chain_tight_P5_R10_seed2      safe_pipeline     topology (      194.80      98.00     185.00     0         -       0.0
  scn_chain_tight_P5_R10_seed2      milp_baseline_wB  maxTimeLim     1404.70      77.50     132.50    22    96.65%      66.2
  scn_chain_tight_P5_R10_seed2      topology_ms6_wB   topology (     1154.30      67.50     108.50    18         -      60.0
  scn_chain_tight_P5_R10_seed2      fas_on_topo_wB    optimal        1154.30      67.50     108.50    18     0.00%       0.0
  scn_chain_tight_P5_R10_seed2      safe_pipeline_wB  topology (     1154.30      67.50     108.50    18         -       0.0
  scn_chain_tight_P5_R10_seed2      milp_baseline_wC  maxTimeLim      758.45      73.50     174.50     6    38.03%      69.4
  scn_chain_tight_P5_R10_seed2      topology_ms6_wC   topology (      703.85      67.50     108.50    18         -      60.0
  scn_chain_tight_P5_R10_seed2      fas_on_topo_wC    optimal         703.85      67.50     108.50    18     0.00%       0.0
  scn_chain_tight_P5_R10_seed2      safe_pipeline_wC  topology (      703.85      67.50     108.50    18         -       0.0
  scn_full_tight_P5_R10_seed2       milp_baseline     maxTimeLim      264.40     109.00     233.50     2    98.22%      66.7
  scn_full_tight_P5_R10_seed2       topology_ms6      topology (      258.00     110.00     247.00     0         -      60.0
  scn_full_tight_P5_R10_seed2       fas_on_topo       optimal         255.00     110.00     244.00     0     0.00%       0.7
  scn_full_tight_P5_R10_seed2       safe_pipeline     optimal         255.00     110.00     244.00     0         -       0.0
  scn_full_tight_P5_R10_seed2       milp_baseline_wB  maxTimeLim     1560.00     105.00     145.00    50    96.99%      70.4
  scn_full_tight_P5_R10_seed2       topology_ms6_wB   topology (     1157.10      67.50     108.50    46         -      60.0
  scn_full_tight_P5_R10_seed2       fas_on_topo_wB    optimal        1157.10      67.50     108.50    46     0.00%       0.1
  scn_full_tight_P5_R10_seed2       safe_pipeline_wB  topology (     1157.10      67.50     108.50    46         -       0.0
