instance,solver,timestamp,solve_time_s,status,objective,makespan,movements,total_delay,config
scn_few-tight_seed12_P2_pl5,constructive,20260417_172743,10.0,heuristic (205452 iterations),608.42,60.842,0,0.0,"{""time_limit_s"": 10.0, ""alpha"": 0.3, ""min_separation"": 10, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""seed"": null}"
scn_custom_many_tight_pl12,milp,20260417_173345,61.491,maxTimeLimit,1399.6,60.91,0,7.9,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 0}"
scn_custom_many_tight_pl12,milp,20260417_173446,61.298,maxTimeLimit,1399.6,60.91,0,7.9,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 10}"
scn_custom_many_tight_pl12,constructive,20260417_173546,60.0,heuristic (437476 iterations),7803.9,81.95,8,69.764,"{""time_limit_s"": 60, ""alpha"": 0.3, ""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""seed"": null}"
scn_custom_many_tight_pl16,milp,20260417_173649,62.953,maxTimeLimit,5418.08,102.63,2,43.9,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 0}"
scn_custom_many_tight_pl16,milp,20260417_173753,63.57,maxTimeLimit,8377.19,92.59,8,74.43,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 10}"
scn_custom_many_tight_pl16,constructive,20260417_173853,60.0,heuristic (332213 iterations),10460.7,122.01,20,92.206,"{""time_limit_s"": 60, ""alpha"": 0.3, ""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""seed"": null}"
scn_few-loose_seed1_P3_pl5,milp,20260417_174223,0.222,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 0}"
scn_few-loose_seed1_P3_pl5,milp,20260417_174224,0.44,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 10}"
scn_few-loose_seed1_P3_pl5,constructive,20260417_174324,60.0,heuristic (1294946 iterations),412.2,41.22,0,0.0,"{""time_limit_s"": 60, ""alpha"": 0.3, ""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""seed"": null}"
scn_few-loose_seed1_P3_pl5,milp,20260417_174343,0.2,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 0}"
scn_few-loose_seed1_P3_pl5,milp,20260417_174344,0.435,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 10}"
scn_few-loose_seed1_P3_pl5,constructive,20260417_174444,60.001,heuristic (1321264 iterations),412.2,41.22,0,0.0,"{""time_limit_s"": 60, ""alpha"": 0.8, ""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""seed"": null}"
scn_few-loose_seed1_P3_pl5,milp,20260417_175424,0.194,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 0}"
scn_few-loose_seed1_P3_pl5,milp,20260417_175425,0.424,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 10}"
scn_few-loose_seed1_P3_pl5,constructive,20260417_175525,60.0,heuristic (1366027 iterations),412.2,41.22,0,0.0,"{""time_limit_s"": 60, ""alpha"": 0.8, ""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""seed"": null}"
scn_few-loose_seed1_P3_pl5,milp,20260417_175627,0.202,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 0}"
scn_few-loose_seed1_P3_pl5,milp,20260417_175627,0.435,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 10}"
scn_few-loose_seed1_P3_pl5,constructive,20260417_175727,60.001,heuristic (729167 iterations),412.2,41.22,0,0.0,"{""time_limit_s"": 60, ""alpha"": 0.8, ""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""seed"": null}"
scn_few-loose_seed1_P3_pl5,milp,20260417_180721,0.509,optimal,312.2,31.22,0,0.0,"{""min_separation"": 10.0, ""weight_makespan"": 10.0, ""weight_delay"": 100.0, ""weight_movements"": 1.0, ""time_limit_s"": 60, ""MIPGap"": 0.05, ""NoRelHeurTime"": 0}"
