==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): 8306117
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    seed=1

  Per-experiment parameters:
  Label       Solver                      weight_makespan  weight_delay  weight_movements
  ---------------------------------------------------------------------------------------
  igvnd_wMK   IteratedGreedyVNDJobSolver  100              1             1               
  igvnd_wDLY  IteratedGreedyVNDJobSolver  1                100           1               
  igvnd_wMOV  IteratedGreedyVNDJobSolver  1                1             100             
==================================================================


==================================================================
  HEURISTIC vs MILP  —  relative gap per instance type
  gap = (MILP_obj - heuristic_obj) / MILP_obj
  gap > 0  =>  heuristic BETTER (lower objective);  < 0  => worse
  heuristic: igvnd_wMK / igvnd_wDLY / igvnd_wMOV   (MILP rows from cache)
==================================================================
  -- Relative objective gap, by weight profile --
  [wMK  (100/1/1  makespan-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10    -5.96%    -8.67%    -1.84%
    scn_chain_loose_P5_R20       10   +13.05%    -2.77%   +25.56%
    scn_chain_loose_P5_R30       10   +29.75%   +20.30%   +32.79%
    scn_chain_loose_P5_R5        10    -1.07%    -6.73%    +0.00%
    scn_chain_medium_P5_R10      10    -5.88%    -8.40%    -1.67%
    scn_chain_medium_P5_R20      10   +15.93%    +7.55%   +23.52%
    scn_chain_medium_P5_R30      10   +30.01%   +24.89%   +33.43%
    scn_chain_medium_P5_R5       10    -1.08%    -6.73%    +0.00%
    scn_chain_tight_P5_R10       10    -3.01%    -8.05%    +3.37%
    scn_chain_tight_P5_R20       10   +11.31%    -1.25%   +24.89%
    scn_chain_tight_P5_R30       10   +29.42%   +21.33%   +31.43%
    scn_chain_tight_P5_R5        10    -1.15%    -6.79%    -0.05%
    scn_hub_loose_P5_R10         10    -4.21%    -8.06%    -0.09%
    scn_hub_loose_P5_R20         10   +12.62%    +8.83%   +17.04%
    scn_hub_loose_P5_R30         10   +12.01%    +9.50%   +18.74%
    scn_hub_loose_P5_R5          10    -0.01%    -0.06%    +0.00%
    scn_hub_medium_P5_R10        10    -4.09%    -8.04%    -0.09%
    scn_hub_medium_P5_R20        10   +11.09%    +5.19%   +15.08%
    scn_hub_medium_P5_R30        10   +12.83%   +11.14%   +18.28%
    scn_hub_medium_P5_R5         10    -0.02%    -0.14%    +0.00%
    scn_hub_tight_P5_R10         10    -3.75%    -7.69%    -0.03%
    scn_hub_tight_P5_R20         10   +12.83%    +5.89%   +16.58%
    scn_hub_tight_P5_R30         10   +13.73%    +8.96%   +19.86%
    scn_hub_tight_P5_R5          10    -0.04%    -0.17%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    -0.75%    -2.77%    -0.02%
    scn_two_rows_loose_P5_R20    10   +12.53%    +2.09%   +26.68%
    scn_two_rows_loose_P5_R30    10   +29.02%   +11.16%   +54.68%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    -0.74%    -2.79%    -0.08%
    scn_two_rows_medium_P5_R20   10   +15.95%    -0.01%   +30.42%
    scn_two_rows_medium_P5_R30   10   +28.69%    +2.27%   +58.55%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    -0.66%    -2.94%    -0.01%
    scn_two_rows_tight_P5_R20    10   +18.74%    +5.41%   +39.09%
    scn_two_rows_tight_P5_R30    10   +29.10%    +3.65%   +58.52%
    scn_two_rows_tight_P5_R5     10    -0.01%    -0.06%    +0.00%

  [wDLY  (1/100/1  delay-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10  -249.42%  -740.13%   -18.98%
    scn_chain_loose_P5_R20       10   +24.88%    +7.03%   +46.41%
    scn_chain_loose_P5_R30       10   +43.75%   +35.25%   +47.95%
    scn_chain_loose_P5_R5        10    -4.71%   -13.33%    +0.00%
    scn_chain_medium_P5_R10      10    -5.76%   -11.86%    +1.96%
    scn_chain_medium_P5_R20      10   +21.37%    +8.44%   +30.56%
    scn_chain_medium_P5_R30      10   +35.53%   +26.60%   +44.04%
    scn_chain_medium_P5_R5       10    -6.99%   -13.33%    +0.00%
    scn_chain_tight_P5_R10       10   +10.57%    +3.62%   +25.44%
    scn_chain_tight_P5_R20       10   +14.59%    +0.40%   +31.98%
    scn_chain_tight_P5_R30       10   +33.51%   +27.91%   +37.64%
    scn_chain_tight_P5_R5        10  -263.24%  -891.18%    -5.41%
    scn_hub_loose_P5_R10         10  -246.90%  -887.28%    +0.00%
    scn_hub_loose_P5_R20         10   +18.88%    +7.42%   +31.69%
    scn_hub_loose_P5_R30         10   +20.87%   +15.17%   +25.62%
    scn_hub_loose_P5_R5          10    -0.57%    -5.71%    +0.00%
    scn_hub_medium_P5_R10        10    -5.52%   -16.75%    +0.74%
    scn_hub_medium_P5_R20        10   +16.21%   +10.11%   +22.22%
    scn_hub_medium_P5_R30        10   +20.12%   +14.23%   +25.57%
    scn_hub_medium_P5_R5         10  -120.17%  -1041.43%    +0.00%
    scn_hub_tight_P5_R10         10    +4.61%    -4.57%   +27.74%
    scn_hub_tight_P5_R20         10   +14.11%    +3.82%   +21.32%
    scn_hub_tight_P5_R30         10   +15.59%    +8.11%   +19.45%
    scn_hub_tight_P5_R5          10  -363.81%  -1243.75%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10   -14.78%   -74.07%    +0.00%
    scn_two_rows_loose_P5_R20    10   +18.85%    -0.39%   +41.19%
    scn_two_rows_loose_P5_R30    10   +42.65%   +22.28%   +60.34%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    -4.62%    -8.40%    -1.11%
    scn_two_rows_medium_P5_R20   10   +20.64%    +4.00%   +55.64%
    scn_two_rows_medium_P5_R30   10   +33.91%   +11.02%   +59.07%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    -0.30%    -4.33%    +3.76%
    scn_two_rows_tight_P5_R20    10   +17.18%    +0.97%   +37.86%
    scn_two_rows_tight_P5_R30    10   +29.74%    +9.62%   +48.60%
    scn_two_rows_tight_P5_R5     10    -0.62%    -6.25%    +0.00%

  [wMOV  (1/1/100  movement-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10   -51.56%   -90.06%   -25.87%
    scn_chain_loose_P5_R20       10    -2.59%   -29.41%   +17.89%
    scn_chain_loose_P5_R30       10   +28.83%   +21.19%   +33.21%
    scn_chain_loose_P5_R5        10    -1.98%    -7.14%    +0.00%
    scn_chain_medium_P5_R10      10   -30.77%   -46.58%   -16.06%
    scn_chain_medium_P5_R20      10    +7.76%    -6.45%   +25.28%
    scn_chain_medium_P5_R30      10   +22.78%   +13.19%   +28.28%
    scn_chain_medium_P5_R5       10    -4.32%    -9.38%    +0.00%
    scn_chain_tight_P5_R10       10   -18.87%   -45.36%   +12.28%
    scn_chain_tight_P5_R20       10    +6.82%   -14.59%   +19.56%
    scn_chain_tight_P5_R30       10   +25.20%   +20.37%   +28.72%
    scn_chain_tight_P5_R5        10   -19.99%   -27.03%   -15.22%
    scn_hub_loose_P5_R10         10    -9.79%   -33.77%    +0.00%
    scn_hub_loose_P5_R20         10   +22.56%   +15.83%   +31.01%
    scn_hub_loose_P5_R30         10   +16.84%    +9.06%   +25.35%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    -6.43%   -18.84%    -0.33%
    scn_hub_medium_P5_R20        10   +17.08%    +7.40%   +24.89%
    scn_hub_medium_P5_R30        10   +13.88%    +8.33%   +19.92%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    -1.88%   -11.28%    +8.15%
    scn_hub_tight_P5_R20         10   +15.91%   +12.49%   +19.97%
    scn_hub_tight_P5_R30         10   +14.74%   +10.67%   +22.71%
    scn_hub_tight_P5_R5          10    -3.01%    -9.38%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    -2.94%    -8.72%    +0.00%
    scn_two_rows_loose_P5_R20    10   +15.68%    -0.12%   +35.74%
    scn_two_rows_loose_P5_R30    10   +31.54%   +11.19%   +47.91%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    -5.98%   -11.11%    -1.68%
    scn_two_rows_medium_P5_R20   10   +15.95%    +2.26%   +42.80%
    scn_two_rows_medium_P5_R30   10   +35.40%    +6.03%   +64.08%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    -2.87%    -6.04%    +0.62%
    scn_two_rows_tight_P5_R20    10   +13.73%    +0.65%   +29.33%
    scn_two_rows_tight_P5_R30    10   +32.68%   +12.42%   +59.35%
    scn_two_rows_tight_P5_R5     10    -0.62%    -6.25%    +0.00%

  -- Relative objective gap, aggregated over all profiles --
  [ALL profiles]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       30  -102.31%  -740.13%    -1.84%
    scn_chain_loose_P5_R20       30   +11.78%   -29.41%   +46.41%
    scn_chain_loose_P5_R30       30   +34.11%   +20.30%   +47.95%
    scn_chain_loose_P5_R5        30    -2.59%   -13.33%    +0.00%
    scn_chain_medium_P5_R10      30   -14.13%   -46.58%    +1.96%
    scn_chain_medium_P5_R20      30   +15.02%    -6.45%   +30.56%
    scn_chain_medium_P5_R30      30   +29.44%   +13.19%   +44.04%
    scn_chain_medium_P5_R5       30    -4.13%   -13.33%    +0.00%
    scn_chain_tight_P5_R10       30    -3.77%   -45.36%   +25.44%
    scn_chain_tight_P5_R20       30   +10.91%   -14.59%   +31.98%
    scn_chain_tight_P5_R30       30   +29.38%   +20.37%   +37.64%
    scn_chain_tight_P5_R5        30   -94.79%  -891.18%    -0.05%
    scn_hub_loose_P5_R10         30   -86.97%  -887.28%    +0.00%
    scn_hub_loose_P5_R20         30   +18.02%    +7.42%   +31.69%
    scn_hub_loose_P5_R30         30   +16.57%    +9.06%   +25.62%
    scn_hub_loose_P5_R5          30    -0.19%    -5.71%    +0.00%
    scn_hub_medium_P5_R10        30    -5.35%   -18.84%    +0.74%
    scn_hub_medium_P5_R20        30   +14.79%    +5.19%   +24.89%
    scn_hub_medium_P5_R30        30   +15.61%    +8.33%   +25.57%
    scn_hub_medium_P5_R5         30   -40.06%  -1041.43%    +0.00%
    scn_hub_tight_P5_R10         30    -0.34%   -11.28%   +27.74%
    scn_hub_tight_P5_R20         30   +14.28%    +3.82%   +21.32%
    scn_hub_tight_P5_R30         30   +14.69%    +8.11%   +22.71%
    scn_hub_tight_P5_R5          30  -122.29%  -1243.75%    +0.00%
    scn_none_tight_P5_R10        30    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    30    -6.16%   -74.07%    +0.00%
    scn_two_rows_loose_P5_R20    30   +15.69%    -0.39%   +41.19%
    scn_two_rows_loose_P5_R30    30   +34.40%   +11.16%   +60.34%
    scn_two_rows_loose_P5_R5     30    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   30    -3.78%   -11.11%    -0.08%
    scn_two_rows_medium_P5_R20   30   +17.52%    -0.01%   +55.64%
