==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): d209ef6
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    seed=1

  Per-experiment parameters:
  Label       Solver                      weight_makespan  weight_delay  weight_movements
  ---------------------------------------------------------------------------------------
  igvnd_wMK   IteratedGreedyVNDJobSolver  100              1             1               
  igvnd_wDLY  IteratedGreedyVNDJobSolver  1                100           1               
  igvnd_wMOV  IteratedGreedyVNDJobSolver  1                1             100             
==================================================================


==================================================================
  HEURISTIC vs MILP  —  relative gap per instance type
  gap = (MILP_obj - heuristic_obj) / MILP_obj
  gap > 0  =>  heuristic BETTER (lower objective);  < 0  => worse
  heuristic: igvnd_wMK / igvnd_wDLY / igvnd_wMOV   (MILP rows from cache)
==================================================================
  -- Relative objective gap, by weight profile --
  [wMK  (100/1/1  makespan-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10    -6.06%   -10.31%    -1.84%
    scn_chain_loose_P5_R20       10   +12.68%    -3.96%   +26.47%
    scn_chain_loose_P5_R30       10   +29.30%   +19.95%   +33.20%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    -6.56%    -9.16%    -4.53%
    scn_chain_medium_P5_R20      10   +15.00%    +5.98%   +23.56%
    scn_chain_medium_P5_R30      10   +29.43%   +25.87%   +32.74%
    scn_chain_medium_P5_R5       10    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       10    -3.44%    -8.93%    +3.37%
    scn_chain_tight_P5_R20       10   +10.91%    +0.85%   +22.56%
    scn_chain_tight_P5_R30       10   +29.67%   +21.01%   +32.55%
    scn_chain_tight_P5_R5        10    -0.04%    -0.09%    +0.00%
    scn_hub_loose_P5_R10         10    -2.65%    -8.06%    +0.00%
    scn_hub_loose_P5_R20         10   +13.63%   +10.13%   +17.20%
    scn_hub_loose_P5_R30         10   +13.07%    +9.71%   +15.62%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    -2.70%    -8.04%    +0.00%
    scn_hub_medium_P5_R20        10   +13.74%    +7.60%   +17.14%
    scn_hub_medium_P5_R30        10   +12.32%   +11.40%   +16.25%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    -1.99%    -6.92%    +0.00%
    scn_hub_tight_P5_R20         10   +13.49%    +6.00%   +15.78%
    scn_hub_tight_P5_R30         10   +15.56%   +12.65%   +21.63%
    scn_hub_tight_P5_R5          10    -0.00%    -0.03%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    -0.44%    -1.62%    +0.00%
    scn_two_rows_loose_P5_R20    10   +13.60%    +2.42%   +28.50%
    scn_two_rows_loose_P5_R30    10   +30.03%   +10.03%   +56.49%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    -0.39%    -1.60%    +0.00%
    scn_two_rows_medium_P5_R20   10   +16.79%    +1.80%   +31.55%
    scn_two_rows_medium_P5_R30   10   +29.62%    +3.14%   +59.13%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    -0.38%    -1.52%    +0.00%
    scn_two_rows_tight_P5_R20    10   +19.77%    +6.47%   +39.72%
    scn_two_rows_tight_P5_R30    10   +30.30%    +7.32%   +59.53%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  [wDLY  (1/100/1  delay-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10  -280.18%  -734.87%   -13.14%
    scn_chain_loose_P5_R20       10   +24.49%    +6.22%   +44.18%
    scn_chain_loose_P5_R30       10   +43.37%   +33.35%   +49.56%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    -4.53%    -8.82%    +1.99%
    scn_chain_medium_P5_R20      10   +19.66%    +5.55%   +31.53%
    scn_chain_medium_P5_R30      10   +37.35%   +29.27%   +42.32%
    scn_chain_medium_P5_R5       10    -1.25%   -12.50%    +0.00%
    scn_chain_tight_P5_R10       10   +10.39%    +2.86%   +25.88%
    scn_chain_tight_P5_R20       10   +13.20%    +0.70%   +39.06%
    scn_chain_tight_P5_R30       10   +32.92%   +23.11%   +36.22%
    scn_chain_tight_P5_R5        10  -260.06%  -891.18%    +0.00%
    scn_hub_loose_P5_R10         10  -191.11%  -624.28%    +0.00%
    scn_hub_loose_P5_R20         10   +21.31%   +10.84%   +34.62%
    scn_hub_loose_P5_R30         10   +22.90%   +12.54%   +31.35%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    -3.96%   -13.95%    +1.58%
    scn_hub_medium_P5_R20        10   +17.66%   +10.86%   +25.16%
    scn_hub_medium_P5_R30        10   +19.84%   +15.15%   +26.94%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    +5.26%    -4.38%   +27.74%
    scn_hub_tight_P5_R20         10   +15.93%    +3.67%   +23.65%
    scn_hub_tight_P5_R30         10   +16.43%   +11.56%   +20.32%
    scn_hub_tight_P5_R5          10  -146.10%  -931.25%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10   -10.58%   -68.61%    +0.00%
    scn_two_rows_loose_P5_R20    10   +22.59%    +2.80%   +43.18%
    scn_two_rows_loose_P5_R30    10   +44.39%   +26.21%   +59.50%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    +0.23%    +0.00%    +1.87%
    scn_two_rows_medium_P5_R20   10   +23.24%    +8.56%   +57.94%
    scn_two_rows_medium_P5_R30   10   +35.22%   +11.77%   +58.92%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    +1.96%    -0.42%    +5.82%
    scn_two_rows_tight_P5_R20    10   +19.24%    +3.77%   +39.69%
    scn_two_rows_tight_P5_R30    10   +32.10%   +14.04%   +51.16%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  [wMOV  (1/1/100  movement-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10    -1.00%    -4.60%    +0.00%
    scn_chain_loose_P5_R20       10   +16.14%    -0.70%   +27.21%
    scn_chain_loose_P5_R30       10   +36.89%   +34.02%   +41.56%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    -3.00%   -10.53%    +0.00%
    scn_chain_medium_P5_R20      10   +21.40%   +10.87%   +36.81%
    scn_chain_medium_P5_R30      10   +29.78%   +20.03%   +35.62%
    scn_chain_medium_P5_R5       10    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       10    +1.14%   -10.31%   +15.79%
    scn_chain_tight_P5_R20       10   +18.23%    +0.59%   +32.21%
    scn_chain_tight_P5_R30       10   +31.51%   +27.10%   +35.49%
    scn_chain_tight_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_hub_loose_P5_R10         10    +0.00%    +0.00%    +0.00%
    scn_hub_loose_P5_R20         10   +26.77%   +21.02%   +31.01%
    scn_hub_loose_P5_R30         10   +20.45%   +10.94%   +25.79%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R20        10   +21.46%   +15.85%   +26.90%
    scn_hub_medium_P5_R30        10   +15.41%   +11.26%   +19.92%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    +2.81%    +0.00%   +21.03%
    scn_hub_tight_P5_R20         10   +18.21%   +13.44%   +21.72%
    scn_hub_tight_P5_R30         10   +15.03%    +9.74%   +22.71%
    scn_hub_tight_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R20    10   +20.40%    +8.91%   +39.65%
    scn_two_rows_loose_P5_R30    10   +33.80%   +14.56%   +52.22%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R20   10   +18.67%    +5.44%   +46.53%
    scn_two_rows_medium_P5_R30   10   +36.83%    +9.40%   +64.08%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    +0.80%    +0.00%    +4.35%
    scn_two_rows_tight_P5_R20    10   +17.29%    +4.30%   +33.35%
    scn_two_rows_tight_P5_R30    10   +34.18%   +15.26%   +60.52%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  -- Relative objective gap, aggregated over all profiles --
  [ALL profiles]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       30   -95.75%  -734.87%    +0.00%
    scn_chain_loose_P5_R20       30   +17.77%    -3.96%   +44.18%
    scn_chain_loose_P5_R30       30   +36.52%   +19.95%   +49.56%
    scn_chain_loose_P5_R5        30    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      30    -4.70%   -10.53%    +1.99%
    scn_chain_medium_P5_R20      30   +18.69%    +5.55%   +36.81%
    scn_chain_medium_P5_R30      30   +32.19%   +20.03%   +42.32%
    scn_chain_medium_P5_R5       30    -0.42%   -12.50%    +0.00%
    scn_chain_tight_P5_R10       30    +2.69%   -10.31%   +25.88%
    scn_chain_tight_P5_R20       30   +14.11%    +0.59%   +39.06%
    scn_chain_tight_P5_R30       30   +31.37%   +21.01%   +36.22%
    scn_chain_tight_P5_R5        30   -86.70%  -891.18%    +0.00%
    scn_hub_loose_P5_R10         30   -64.59%  -624.28%    +0.00%
    scn_hub_loose_P5_R20         30   +20.57%   +10.13%   +34.62%
    scn_hub_loose_P5_R30         30   +18.81%    +9.71%   +31.35%
    scn_hub_loose_P5_R5          30    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        30    -2.22%   -13.95%    +1.58%
    scn_hub_medium_P5_R20        30   +17.62%    +7.60%   +26.90%
    scn_hub_medium_P5_R30        30   +15.86%   +11.26%   +26.94%
    scn_hub_medium_P5_R5         30    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         30    +2.03%    -6.92%   +27.74%
    scn_hub_tight_P5_R20         30   +15.88%    +3.67%   +23.65%
    scn_hub_tight_P5_R30         30   +15.67%    +9.74%   +22.71%
    scn_hub_tight_P5_R5          30   -48.70%  -931.25%    +0.00%
    scn_none_tight_P5_R10        30    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    30    -3.67%   -68.61%    +0.00%
    scn_two_rows_loose_P5_R20    30   +18.86%    +2.42%   +43.18%
    scn_two_rows_loose_P5_R30    30   +36.07%   +10.03%   +59.50%
    scn_two_rows_loose_P5_R5     30    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   30    -0.06%    -1.60%    +1.87%
    scn_two_rows_medium_P5_R20   30   +19.57%    +1.80%   +57.94%
