==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): 3bc423c
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    seed=1

  Per-experiment parameters:
  Label       Solver                      weight_makespan  weight_delay  weight_movements
  ---------------------------------------------------------------------------------------
  igvnd_wMK   IteratedGreedyVNDJobSolver  100              1             1               
  igvnd_wDLY  IteratedGreedyVNDJobSolver  1                100           1               
  igvnd_wMOV  IteratedGreedyVNDJobSolver  1                1             100             
==================================================================


==================================================================
  HEURISTIC vs MILP  —  relative gap per instance type
  gap = (MILP_obj - heuristic_obj) / MILP_obj
  gap > 0  =>  heuristic BETTER (lower objective);  < 0  => worse
  heuristic: igvnd_wMK / igvnd_wDLY / igvnd_wMOV   (MILP rows from cache)
==================================================================
  -- Relative objective gap, by weight profile --
  [wMK  (100/1/1  makespan-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10    -5.07%    -6.62%    -4.11%
    scn_chain_loose_P5_R20       10   +13.05%    -3.53%   +26.54%
    scn_chain_loose_P5_R30       10   +28.12%   +17.60%   +33.10%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    -4.93%    -6.77%    -3.21%
    scn_chain_medium_P5_R20      10   +15.72%    +8.42%   +23.98%
    scn_chain_medium_P5_R30      10   +28.53%   +20.34%   +32.23%
    scn_chain_medium_P5_R5       10    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       10    -2.38%    -8.02%    +4.85%
    scn_chain_tight_P5_R20       10   +11.41%    +0.83%   +23.45%
    scn_chain_tight_P5_R30       10   +29.26%   +21.62%   +31.02%
    scn_chain_tight_P5_R5        10    -0.01%    -0.07%    +0.00%
    scn_hub_loose_P5_R10         10    -2.50%    -8.02%    +0.00%
    scn_hub_loose_P5_R20         10   +13.69%   +10.09%   +17.80%
    scn_hub_loose_P5_R30         10   +12.48%    +8.66%   +15.42%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    -2.55%    -7.98%    +0.00%
    scn_hub_medium_P5_R20        10   +13.12%    +7.60%   +17.14%
    scn_hub_medium_P5_R30        10   +12.98%    +9.53%   +17.39%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    -1.98%    -6.92%    +0.00%
    scn_hub_tight_P5_R20         10   +13.70%    +7.51%   +15.78%
    scn_hub_tight_P5_R30         10   +14.79%   +10.85%   +21.27%
    scn_hub_tight_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    -0.28%    -1.56%    +0.00%
    scn_two_rows_loose_P5_R20    10   +13.58%    +0.47%   +28.29%
    scn_two_rows_loose_P5_R30    10   +29.90%   +12.85%   +56.49%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    -0.39%    -1.54%    +0.00%
    scn_two_rows_medium_P5_R20   10   +16.70%    +1.62%   +30.99%
    scn_two_rows_medium_P5_R30   10   +29.34%    +0.81%   +58.50%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    -0.23%    -1.52%    +0.00%
    scn_two_rows_tight_P5_R20    10   +19.61%    +6.47%   +38.72%
    scn_two_rows_tight_P5_R30    10   +29.45%    +6.85%   +57.86%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  [wDLY  (1/100/1  delay-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10  -141.01%  -324.34%    -0.65%
    scn_chain_loose_P5_R20       10   +26.59%   +14.17%   +47.53%
    scn_chain_loose_P5_R30       10   +42.91%   +34.13%   +48.77%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    -0.95%    -9.82%    +5.09%
    scn_chain_medium_P5_R20      10   +21.26%    +8.40%   +30.29%
    scn_chain_medium_P5_R30      10   +36.15%   +27.81%   +44.03%
    scn_chain_medium_P5_R5       10    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       10   +13.81%    +4.94%   +34.99%
    scn_chain_tight_P5_R20       10   +13.25%    -1.81%   +31.19%
    scn_chain_tight_P5_R30       10   +32.46%   +26.98%   +36.14%
    scn_chain_tight_P5_R5        10   -25.25%  -252.50%    +0.00%
    scn_hub_loose_P5_R10         10  -137.53%  -621.15%    +0.00%
    scn_hub_loose_P5_R20         10   +21.72%   +10.84%   +32.72%
    scn_hub_loose_P5_R30         10   +21.72%   +14.27%   +26.95%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    -1.20%    -8.08%    +2.90%
    scn_hub_medium_P5_R20        10   +18.10%   +10.86%   +25.29%
    scn_hub_medium_P5_R30        10   +19.93%   +14.08%   +26.32%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    +6.56%    +0.00%   +28.06%
    scn_hub_tight_P5_R20         10   +15.55%    +5.43%   +23.53%
    scn_hub_tight_P5_R30         10   +15.92%    +9.89%   +19.84%
    scn_hub_tight_P5_R5          10    -2.87%   -28.74%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    -4.47%   -35.92%    +0.00%
    scn_two_rows_loose_P5_R20    10   +22.47%    +2.80%   +45.92%
    scn_two_rows_loose_P5_R30    10   +43.83%   +26.21%   +61.71%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    +0.23%    +0.00%    +1.87%
    scn_two_rows_medium_P5_R20   10   +22.81%    +8.56%   +58.49%
    scn_two_rows_medium_P5_R30   10   +35.68%   +16.24%   +58.92%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    +2.01%    +0.00%    +5.82%
    scn_two_rows_tight_P5_R20    10   +18.94%    +3.77%   +38.63%
    scn_two_rows_tight_P5_R30    10   +31.20%   +10.13%   +51.05%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  [wMOV  (1/1/100  movement-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10    -1.00%    -4.60%    +0.00%
    scn_chain_loose_P5_R20       10   +15.52%    -5.32%   +27.21%
    scn_chain_loose_P5_R30       10   +36.89%   +34.02%   +41.56%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    -0.20%    -2.38%    +2.45%
    scn_chain_medium_P5_R20      10   +20.70%   +10.87%   +36.81%
    scn_chain_medium_P5_R30      10   +29.59%   +20.03%   +34.75%
    scn_chain_medium_P5_R5       10    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       10    +0.80%   -10.73%   +15.79%
    scn_chain_tight_P5_R20       10   +16.89%    +0.59%   +29.07%
    scn_chain_tight_P5_R30       10   +31.39%   +27.10%   +36.09%
    scn_chain_tight_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_hub_loose_P5_R10         10    +0.00%    +0.00%    +0.00%
    scn_hub_loose_P5_R20         10   +26.17%   +18.20%   +32.43%
    scn_hub_loose_P5_R30         10   +19.20%    +7.80%   +25.79%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R20        10   +20.76%   +15.59%   +26.80%
    scn_hub_medium_P5_R30        10   +14.08%    +8.98%   +17.92%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    +2.81%    +0.00%   +21.03%
    scn_hub_tight_P5_R20         10   +18.09%   +15.18%   +22.45%
    scn_hub_tight_P5_R30         10   +14.18%    +9.27%   +19.50%
    scn_hub_tight_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R20    10   +19.18%    +2.81%   +38.09%
    scn_two_rows_loose_P5_R30    10   +33.97%   +13.72%   +52.16%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R20   10   +18.87%    +5.29%   +43.81%
    scn_two_rows_medium_P5_R30   10   +36.41%    +9.05%   +64.08%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    +0.68%    -1.17%    +4.35%
    scn_two_rows_tight_P5_R20    10   +16.58%    +1.52%   +32.97%
    scn_two_rows_tight_P5_R30    10   +33.88%   +15.26%   +60.52%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  -- Relative objective gap, aggregated over all profiles --
  [ALL profiles]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       30   -49.03%  -324.34%    +0.00%
    scn_chain_loose_P5_R20       30   +18.39%    -5.32%   +47.53%
    scn_chain_loose_P5_R30       30   +35.97%   +17.60%   +48.77%
    scn_chain_loose_P5_R5        30    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      30    -2.03%    -9.82%    +5.09%
    scn_chain_medium_P5_R20      30   +19.23%    +8.40%   +36.81%
    scn_chain_medium_P5_R30      30   +31.42%   +20.03%   +44.03%
    scn_chain_medium_P5_R5       30    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       30    +4.07%   -10.73%   +34.99%
    scn_chain_tight_P5_R20       30   +13.85%    -1.81%   +31.19%
    scn_chain_tight_P5_R30       30   +31.04%   +21.62%   +36.14%
    scn_chain_tight_P5_R5        30    -8.42%  -252.50%    +0.00%
    scn_hub_loose_P5_R10         30   -46.68%  -621.15%    +0.00%
    scn_hub_loose_P5_R20         30   +20.53%   +10.09%   +32.72%
    scn_hub_loose_P5_R30         30   +17.80%    +7.80%   +26.95%
    scn_hub_loose_P5_R5          30    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        30    -1.25%    -8.08%    +2.90%
    scn_hub_medium_P5_R20        30   +17.33%    +7.60%   +26.80%
    scn_hub_medium_P5_R30        30   +15.67%    +8.98%   +26.32%
    scn_hub_medium_P5_R5         30    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         30    +2.46%    -6.92%   +28.06%
    scn_hub_tight_P5_R20         30   +15.78%    +5.43%   +23.53%
    scn_hub_tight_P5_R30         30   +14.97%    +9.27%   +21.27%
    scn_hub_tight_P5_R5          30    -0.96%   -28.74%    +0.00%
    scn_none_tight_P5_R10        30    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    30    -1.58%   -35.92%    +0.00%
    scn_two_rows_loose_P5_R20    30   +18.41%    +0.47%   +45.92%
    scn_two_rows_loose_P5_R30    30   +35.90%   +12.85%   +61.71%
    scn_two_rows_loose_P5_R5     30    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   30    -0.05%    -1.54%    +1.87%
    scn_two_rows_medium_P5_R20   30   +19.46%    +1.62%   +58.49%
