==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): 1269c32
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    seed=1

  Per-experiment parameters:
  Label       Solver                      weight_makespan  weight_delay  weight_movements
  ---------------------------------------------------------------------------------------
  igvnd_wMK   IteratedGreedyVNDJobSolver  100              1             1               
  igvnd_wDLY  IteratedGreedyVNDJobSolver  1                100           1               
  igvnd_wMOV  IteratedGreedyVNDJobSolver  1                1             100             
==================================================================


==================================================================
  HEURISTIC vs MILP  —  relative gap per instance type
  gap = (MILP_obj - heuristic_obj) / MILP_obj
  gap > 0  =>  heuristic BETTER (lower objective);  < 0  => worse
  heuristic: igvnd_wMK / igvnd_wDLY / igvnd_wMOV   (MILP rows from cache)
==================================================================
  -- Relative objective gap, by weight profile --
  [wMK  (100/1/1  makespan-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10    -4.42%    -6.28%    -1.69%
    scn_chain_loose_P5_R20       10   +15.53%    -1.99%   +28.81%
    scn_chain_loose_P5_R30       10   +30.86%   +22.62%   +33.45%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    -4.12%    -8.03%    -0.05%
    scn_chain_medium_P5_R20      10   +17.21%   +11.18%   +22.75%
    scn_chain_medium_P5_R30      10   +32.06%   +27.56%   +34.30%
    scn_chain_medium_P5_R5       10    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       10    -1.59%    -4.55%    +4.94%
    scn_chain_tight_P5_R20       10   +13.84%    +3.95%   +25.33%
    scn_chain_tight_P5_R30       10   +31.48%   +22.58%   +34.89%
    scn_chain_tight_P5_R5        10    -0.01%    -0.07%    +0.00%
    scn_hub_loose_P5_R10         10    -2.50%    -8.02%    +0.00%
    scn_hub_loose_P5_R20         10   +13.38%   +10.14%   +16.49%
    scn_hub_loose_P5_R30         10   +14.45%   +10.81%   +17.46%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    -2.55%    -7.98%    +0.00%
    scn_hub_medium_P5_R20        10   +12.49%    +6.09%   +16.15%
    scn_hub_medium_P5_R30        10   +15.28%   +10.43%   +18.85%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    -1.98%    -6.92%    +0.00%
    scn_hub_tight_P5_R20         10   +13.25%    +6.70%   +15.69%
    scn_hub_tight_P5_R30         10   +15.16%   +11.62%   +18.19%
    scn_hub_tight_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    -0.24%    -1.56%    +0.00%
    scn_two_rows_loose_P5_R20    10   +13.87%    +2.79%   +28.37%
    scn_two_rows_loose_P5_R30    10   +30.29%   +10.70%   +55.72%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    -0.24%    -1.54%    +0.00%
    scn_two_rows_medium_P5_R20   10   +17.08%    +1.15%   +31.00%
    scn_two_rows_medium_P5_R30   10   +29.76%    +3.54%   +59.57%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    -0.24%    -1.52%    +0.00%
    scn_two_rows_tight_P5_R20    10   +19.83%    +5.42%   +38.78%
    scn_two_rows_tight_P5_R30    10   +30.05%    +7.72%   +59.07%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  [wDLY  (1/100/1  delay-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10  -111.43%  -467.76%    -4.97%
    scn_chain_loose_P5_R20       10   +32.06%   +15.84%   +50.82%
    scn_chain_loose_P5_R30       10   +43.18%   +34.44%   +46.39%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    +0.76%    -9.53%    +9.61%
    scn_chain_medium_P5_R20      10   +24.99%    +8.78%   +34.38%
    scn_chain_medium_P5_R30      10   +36.53%   +28.87%   +43.01%
    scn_chain_medium_P5_R5       10    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       10   +13.94%    +4.96%   +34.99%
    scn_chain_tight_P5_R20       10   +18.47%    +9.73%   +39.05%
    scn_chain_tight_P5_R30       10   +34.77%   +28.52%   +41.18%
    scn_chain_tight_P5_R5        10   -25.25%  -252.50%    +0.00%
    scn_hub_loose_P5_R10         10  -148.04%  -621.15%    +0.00%
    scn_hub_loose_P5_R20         10   +22.20%    +7.71%   +32.73%
    scn_hub_loose_P5_R30         10   +23.26%   +12.04%   +29.48%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    -1.44%    -8.08%    +2.90%
    scn_hub_medium_P5_R20        10   +18.56%   +13.29%   +22.94%
    scn_hub_medium_P5_R30        10   +19.36%   +11.93%   +23.17%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    +6.46%    -0.80%   +28.06%
    scn_hub_tight_P5_R20         10   +15.14%    +3.96%   +22.36%
    scn_hub_tight_P5_R30         10   +18.38%   +13.54%   +22.40%
    scn_hub_tight_P5_R5          10    -2.87%   -28.74%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10   -10.58%   -68.61%    +0.00%
    scn_two_rows_loose_P5_R20    10   +23.02%    +1.62%   +47.32%
    scn_two_rows_loose_P5_R30    10   +43.51%   +22.96%   +61.53%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    +0.23%    +0.00%    +1.87%
    scn_two_rows_medium_P5_R20   10   +23.47%    +4.91%   +57.21%
    scn_two_rows_medium_P5_R30   10   +35.99%   +14.77%   +59.74%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    +2.01%    +0.00%    +5.82%
    scn_two_rows_tight_P5_R20    10   +18.75%    +0.89%   +38.33%
    scn_two_rows_tight_P5_R30    10   +32.37%   +13.26%   +51.96%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  [wMOV  (1/1/100  movement-priority)]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       10    -4.40%   -18.01%    +0.00%
    scn_chain_loose_P5_R20       10   +15.22%    -5.76%   +28.45%
    scn_chain_loose_P5_R30       10   +37.09%   +34.02%   +41.56%
    scn_chain_loose_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      10    -2.02%   -10.53%    +0.00%
    scn_chain_medium_P5_R20      10   +19.92%   +11.08%   +36.81%
    scn_chain_medium_P5_R30      10   +30.10%   +20.03%   +34.75%
    scn_chain_medium_P5_R5       10    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       10    +1.96%   -11.86%   +15.79%
    scn_chain_tight_P5_R20       10   +15.96%    -0.39%   +25.59%
    scn_chain_tight_P5_R30       10   +31.67%   +27.67%   +38.17%
    scn_chain_tight_P5_R5        10    +0.00%    +0.00%    +0.00%
    scn_hub_loose_P5_R10         10    +0.00%    +0.00%    +0.00%
    scn_hub_loose_P5_R20         10   +25.42%   +17.38%   +33.71%
    scn_hub_loose_P5_R30         10   +22.94%   +11.23%   +29.20%
    scn_hub_loose_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R20        10   +20.81%   +14.45%   +27.01%
    scn_hub_medium_P5_R30        10   +18.12%   +10.34%   +25.12%
    scn_hub_medium_P5_R5         10    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         10    +2.81%    +0.00%   +21.03%
    scn_hub_tight_P5_R20         10   +17.46%   +14.09%   +21.61%
    scn_hub_tight_P5_R30         10   +17.57%   +13.91%   +24.04%
    scn_hub_tight_P5_R5          10    +0.00%    +0.00%    +0.00%
    scn_none_tight_P5_R10        10    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    10    -0.08%    -0.76%    +0.00%
    scn_two_rows_loose_P5_R20    10   +19.13%    +4.15%   +40.99%
    scn_two_rows_loose_P5_R30    10   +33.12%   +12.09%   +49.75%
    scn_two_rows_loose_P5_R5     10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   10    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R20   10   +18.81%    +4.41%   +46.89%
    scn_two_rows_medium_P5_R30   10   +36.49%    +8.55%   +66.20%
    scn_two_rows_medium_P5_R5    10    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    10    +0.80%    +0.00%    +4.35%
    scn_two_rows_tight_P5_R20    10   +17.00%    +4.69%   +34.00%
    scn_two_rows_tight_P5_R30    10   +34.63%   +15.87%   +59.37%
    scn_two_rows_tight_P5_R5     10    +0.00%    +0.00%    +0.00%

  -- Relative objective gap, aggregated over all profiles --
  [ALL profiles]
    Type                          N      Mean       Min       Max
    -----------------------------------------------------------
    scn_chain_loose_P5_R10       30   -40.08%  -467.76%    +0.00%
    scn_chain_loose_P5_R20       30   +20.94%    -5.76%   +50.82%
    scn_chain_loose_P5_R30       30   +37.04%   +22.62%   +46.39%
    scn_chain_loose_P5_R5        30    +0.00%    +0.00%    +0.00%
    scn_chain_medium_P5_R10      30    -1.79%   -10.53%    +9.61%
    scn_chain_medium_P5_R20      30   +20.71%    +8.78%   +36.81%
    scn_chain_medium_P5_R30      30   +32.90%   +20.03%   +43.01%
    scn_chain_medium_P5_R5       30    +0.00%    +0.00%    +0.00%
    scn_chain_tight_P5_R10       30    +4.77%   -11.86%   +34.99%
    scn_chain_tight_P5_R20       30   +16.09%    -0.39%   +39.05%
    scn_chain_tight_P5_R30       30   +32.64%   +22.58%   +41.18%
    scn_chain_tight_P5_R5        30    -8.42%  -252.50%    +0.00%
    scn_hub_loose_P5_R10         30   -50.18%  -621.15%    +0.00%
    scn_hub_loose_P5_R20         30   +20.33%    +7.71%   +33.71%
    scn_hub_loose_P5_R30         30   +20.22%   +10.81%   +29.48%
    scn_hub_loose_P5_R5          30    +0.00%    +0.00%    +0.00%
    scn_hub_medium_P5_R10        30    -1.33%    -8.08%    +2.90%
    scn_hub_medium_P5_R20        30   +17.29%    +6.09%   +27.01%
    scn_hub_medium_P5_R30        30   +17.59%   +10.34%   +25.12%
    scn_hub_medium_P5_R5         30    +0.00%    +0.00%    +0.00%
    scn_hub_tight_P5_R10         30    +2.43%    -6.92%   +28.06%
    scn_hub_tight_P5_R20         30   +15.28%    +3.96%   +22.36%
    scn_hub_tight_P5_R30         30   +17.04%   +11.62%   +24.04%
    scn_hub_tight_P5_R5          30    -0.96%   -28.74%    +0.00%
    scn_none_tight_P5_R10        30    +0.00%    +0.00%    +0.00%
    scn_two_rows_loose_P5_R10    30    -3.63%   -68.61%    +0.00%
    scn_two_rows_loose_P5_R20    30   +18.67%    +1.62%   +47.32%
    scn_two_rows_loose_P5_R30    30   +35.64%   +10.70%   +61.53%
    scn_two_rows_loose_P5_R5     30    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   30    -0.00%    -1.54%    +1.87%
    scn_two_rows_medium_P5_R20   30   +19.79%    +1.15%   +57.21%
