==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): 49e616a
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    seed=1

  Per-experiment parameters:
  Label       Solver                      weight_makespan  weight_delay  weight_movements
  ---------------------------------------------------------------------------------------
  igvnd_wMK   IteratedGreedyVNDJobSolver  100              1             1               
  igvnd_wDLY  IteratedGreedyVNDJobSolver  1                100           1               
  igvnd_wMOV  IteratedGreedyVNDJobSolver  1                1             100             
==================================================================


  (gap summary unavailable: No module named 'gap_summary')


==================================================================
  SUMMARY  —  867 ok  /  0 failed  /  867 total
==================================================================
  Instance                           Experiment  Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ---------------------------------------------------------------------------------------------------------------------
  scn_chain_medium_P5_R5_seed3       igvnd_wMK   heuristic_     3100.00      31.00       0.00     0         -      60.0
  scn_chain_medium_P5_R5_seed3       igvnd_wDLY  heuristic_       31.00      31.00       0.00     0         -      60.0
  scn_chain_medium_P5_R5_seed3       igvnd_wMOV  heuristic_       31.00      31.00       0.00     0         -      60.0
  scn_chain_tight_P5_R10_seed3       igvnd_wMK   heuristic_     6703.50      65.50     131.50    22         -      60.0
  scn_chain_tight_P5_R10_seed3       igvnd_wDLY  heuristic_    11931.50      69.50     118.50    12         -      60.0
  scn_chain_tight_P5_R10_seed3       igvnd_wMOV  heuristic_      205.00      66.00     139.00     0         -      60.0
  scn_chain_tight_P5_R20_seed3       igvnd_wMK   heuristic_    14861.00     139.50     865.00    46         -      60.2
  scn_chain_tight_P5_R20_seed3       igvnd_wDLY  heuristic_    83586.00     144.00     834.00    42         -      60.4
  scn_chain_tight_P5_R20_seed3       igvnd_wMOV  heuristic_     1032.50     161.00     871.50     0         -      60.1
  scn_chain_tight_P5_R30_seed3       igvnd_wMK   heuristic_    27512.50     245.00    2934.50    78         -      60.3
  scn_chain_tight_P5_R30_seed3       igvnd_wDLY  heuristic_   245991.00     267.00    2456.50    74         -      60.2
  scn_chain_tight_P5_R30_seed3       igvnd_wMOV  heuristic_     2665.00     233.00    2432.00     0         -      60.4
  scn_chain_tight_P5_R5_seed3        igvnd_wMK   heuristic_     3106.00      31.00       4.00     2         -      60.0
  scn_chain_tight_P5_R5_seed3        igvnd_wDLY  heuristic_      337.00      31.00       3.00     6         -      60.0
