==================================================================
  EXPERIMENT CONFIGURATIONS  (6 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label          Solver                      weight_makespan  weight_delay  weight_movements  seed
  ------------------------------------------------------------------------------------------------
  milp_job_wMK   MILPJobsV2Solver            100              1             1                 —   
  milp_job_wDLY  MILPJobsV2Solver            1                100           1                 —   
  milp_job_wMOV  MILPJobsV2Solver            1                1             100               —   
  igvnd_wMK      IteratedGreedyVNDJobSolver  100              1             1                 1   
  igvnd_wDLY     IteratedGreedyVNDJobSolver  1                100           1                 1   
  igvnd_wMOV     IteratedGreedyVNDJobSolver  1                1             100               1   
==================================================================



==================================================================
  SUMMARY  —  24 ok  /  0 failed  /  24 total
==================================================================
  Instance                         Experiment     Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ----------------------------------------------------------------------------------------------------------------------
  scn_none_tight_P5_R10_seed1      milp_job_wMK   optimal        5844.50      57.50      94.50     0     0.00%       0.1
  scn_none_tight_P5_R10_seed1      milp_job_wDLY  optimal        9408.50      58.50      93.50     0     0.00%       4.3
  scn_none_tight_P5_R10_seed1      milp_job_wMOV  optimal         152.00      58.50      93.50     0     0.00%       2.6
  scn_none_tight_P5_R10_seed1      igvnd_wMK      heuristic_     5844.50      57.50      94.50     0         -       2.4
  scn_none_tight_P5_R10_seed1      igvnd_wDLY     heuristic_     9408.50      58.50      93.50     0         -       2.1
  scn_none_tight_P5_R10_seed1      igvnd_wMOV     heuristic_      152.00      58.50      93.50     0         -       2.2
  scn_triangle_tight_P5_R10_seed1  milp_job_wMK   optimal        6059.50      59.50     101.50     8     0.00%      29.3
  scn_triangle_tight_P5_R10_seed1  milp_job_wDLY  maxTimeLim    10220.50      60.50     101.50    10    99.64%      60.5
  scn_triangle_tight_P5_R10_seed1  milp_job_wMOV  maxTimeLim      166.00      62.50     103.50     0    63.25%      60.5
  scn_triangle_tight_P5_R10_seed1  igvnd_wMK      heuristic_     9409.00      91.50     259.00     0         -       3.0
  scn_triangle_tight_P5_R10_seed1  igvnd_wDLY     heuristic_    23493.50      93.50     234.00     0         -       2.1
  scn_triangle_tight_P5_R10_seed1  igvnd_wMOV     heuristic_      327.50      93.50     234.00     0         -       2.2
  scn_triangle_tight_P5_R5_seed1   milp_job_wMK   optimal        3000.00      30.00       0.00     0     0.00%       0.3
  scn_triangle_tight_P5_R5_seed1   milp_job_wDLY  optimal          30.00      30.00       0.00     0     0.00%       0.3
  scn_triangle_tight_P5_R5_seed1   milp_job_wMOV  optimal          30.00      30.00       0.00     0     0.00%       0.2
  scn_triangle_tight_P5_R5_seed1   igvnd_wMK      heuristic_     4380.00      43.50      30.00     0         -       0.3
  scn_triangle_tight_P5_R5_seed1   igvnd_wDLY     heuristic_     3050.50      50.50      30.00     0         -       0.3
  scn_triangle_tight_P5_R5_seed1   igvnd_wMOV     heuristic_       73.50      43.50      30.00     0         -       0.3
  scn_triangle_tight_P5_R5_seed2   milp_job_wMK   optimal        3700.00      37.00       0.00     0     0.00%       0.1
  scn_triangle_tight_P5_R5_seed2   milp_job_wDLY  optimal          37.00      37.00       0.00     0     0.00%       0.1
  scn_triangle_tight_P5_R5_seed2   milp_job_wMOV  optimal          37.00      37.00       0.00     0     0.00%       0.1
  scn_triangle_tight_P5_R5_seed2   igvnd_wMK      heuristic_     4596.00      45.50      46.00     0         -       0.3
  scn_triangle_tight_P5_R5_seed2   igvnd_wDLY     heuristic_     3151.50      51.50      31.00     0         -       0.3
  scn_triangle_tight_P5_R5_seed2   igvnd_wMOV     heuristic_       78.50      49.50      29.00     0         -       0.3
==================================================================
