==================================================================
  EXPERIMENT CONFIGURATIONS  (6 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label          Solver                      weight_makespan  weight_delay  weight_movements  seed
  ------------------------------------------------------------------------------------------------
  milp_job_wMK   MILPJobsV2Solver            100              1             1                 —   
  igvnd_wMK      IteratedGreedyVNDJobSolver  100              1             1                 1   
  milp_job_wDLY  MILPJobsV2Solver            1                100           1                 —   
  igvnd_wDLY     IteratedGreedyVNDJobSolver  1                100           1                 1   
  milp_job_wMOV  MILPJobsV2Solver            1                1             100               —   
  igvnd_wMOV     IteratedGreedyVNDJobSolver  1                1             100               1   
==================================================================



==================================================================
  SUMMARY  —  147 ok  /  0 failed  /  147 total
==================================================================
  Instance                       Experiment     Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  --------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed1   milp_job_wMK   maxTimeLim     6223.00      61.00     109.00    14    40.54%      60.7
  scn_chain_tight_P5_R10_seed1   igvnd_wMK      heuristic_     6280.50      61.50     114.50    16         -      60.1
  scn_chain_tight_P5_R10_seed1   milp_job_wDLY  maxTimeLim    12491.00      77.00     124.00    14    99.70%      60.6
  scn_chain_tight_P5_R10_seed1   igvnd_wDLY     heuristic_    10881.00      63.00     108.00    18         -      60.3
  scn_chain_tight_P5_R10_seed1   milp_job_wMOV  maxTimeLim      232.00      69.50     162.50     0    84.05%      60.7
  scn_chain_tight_P5_R10_seed1   igvnd_wMOV     heuristic_      264.00      84.50     179.50     0         -      60.5
  scn_chain_tight_P5_R10_seed10  milp_job_wMK   maxTimeLim     6487.50      63.50     125.50    12    32.03%      60.6
  scn_chain_tight_P5_R10_seed10  igvnd_wMK      heuristic_     6679.00      65.50     113.00    16         -      60.6
  scn_chain_tight_P5_R10_seed10  milp_job_wDLY  maxTimeLim    11278.50      66.50     112.00    12    99.61%      60.7
  scn_chain_tight_P5_R10_seed10  igvnd_wDLY     heuristic_    11085.50      71.50     110.00    14         -      60.5
  scn_chain_tight_P5_R10_seed10  milp_job_wMOV  maxTimeLim      220.00      72.50     147.50     0    80.00%      60.7
  scn_chain_tight_P5_R10_seed10  igvnd_wMOV     heuristic_      277.50      86.00     191.50     0         -      60.1
  scn_chain_tight_P5_R10_seed2   milp_job_wMK   maxTimeLim     7188.50      70.50     122.50    16    34.55%      60.7
  scn_chain_tight_P5_R10_seed2   igvnd_wMK      heuristic_     7447.00      72.50     181.00    16         -      60.9
  scn_chain_tight_P5_R10_seed2   milp_job_wDLY  maxTimeLim    13146.00      76.00     130.50    20    99.64%      60.7
  scn_chain_tight_P5_R10_seed2   igvnd_wDLY     heuristic_    12242.00      76.00     121.50    16         -      60.3
  scn_chain_tight_P5_R10_seed2   milp_job_wMOV  maxTimeLim      238.00      76.50     161.50     0    80.25%      60.6
  scn_chain_tight_P5_R10_seed2   igvnd_wMOV     heuristic_      267.50     100.00     167.50     0         -      60.1
  scn_chain_tight_P5_R10_seed3   milp_job_wMK   maxTimeLim     6542.00      64.00     122.00    20     3.73%      60.6
  scn_chain_tight_P5_R10_seed3   igvnd_wMK      heuristic_     6498.00      63.50     128.00    20         -      60.2
  scn_chain_tight_P5_R10_seed3   milp_job_wDLY  maxTimeLim    12587.00      71.00     125.00    16    99.67%      60.7
  scn_chain_tight_P5_R10_seed3   igvnd_wDLY     heuristic_    11186.50      72.50     111.00    14         -      61.0
  scn_chain_tight_P5_R10_seed3   milp_job_wMOV  maxTimeLim      270.00      75.50     194.50     0    84.81%      60.6
  scn_chain_tight_P5_R10_seed3   igvnd_wMOV     heuristic_      272.00      87.50     184.50     0         -      60.1
  scn_chain_tight_P5_R10_seed4   milp_job_wMK   maxTimeLim     7207.50      70.50     145.50    12    36.18%      60.6
  scn_chain_tight_P5_R10_seed4   igvnd_wMK      heuristic_     7057.50      69.00     145.50    12         -      60.6
  scn_chain_tight_P5_R10_seed4   milp_job_wDLY  maxTimeLim    13497.50      77.50     134.00    20    99.66%      60.8
  scn_chain_tight_P5_R10_seed4   igvnd_wDLY     heuristic_    12788.00      76.00     127.00    12         -      60.4
  scn_chain_tight_P5_R10_seed4   milp_job_wMOV  maxTimeLim      237.00      82.50     154.50     0    80.59%      60.6
  scn_chain_tight_P5_R10_seed4   igvnd_wMOV     heuristic_      225.00      81.50     143.50     0         -      60.1
  scn_chain_tight_P5_R10_seed5   milp_job_wMK   maxTimeLim     5979.50      58.50     113.50    16    31.43%      60.6
  scn_chain_tight_P5_R10_seed5   igvnd_wMK      heuristic_     6066.00      59.50     106.00    10         -      61.3
