==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): 4a80e79
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    seed=1

  Per-experiment parameters:
  Label       Solver                      weight_makespan  weight_delay  weight_movements
  ---------------------------------------------------------------------------------------
  igvnd_wMK   IteratedGreedyVNDJobSolver  100              1             1               
  igvnd_wDLY  IteratedGreedyVNDJobSolver  1                100           1               
  igvnd_wMOV  IteratedGreedyVNDJobSolver  1                1             100             
==================================================================


==================================================================
  HEURISTIC vs MILP  —  relative gap per instance type
  gap = (MILP_obj - heuristic_obj) / MILP_obj
  gap > 0  =>  heuristic BETTER (lower objective);  < 0  => worse
==================================================================
  -- Relative objective gap, by weight profile --
  [wMK  (100/1/1  makespan-priority)]
    (no paired MILP/heuristic results yet)

  [wDLY  (1/100/1  delay-priority)]
    (no paired MILP/heuristic results yet)

  [wMOV  (1/1/100  movement-priority)]
    (no paired MILP/heuristic results yet)

  -- Relative objective gap, aggregated over all profiles --
  [ALL profiles]
    (no paired MILP/heuristic results yet)

  -- Per-component mean Δ (heuristic − MILP); negative = heuristic better --
  -- (relative gap is distorted when the optimum delay ≈ 0; read these too)
  [wMK  (100/1/1  makespan-priority)]
    (no paired MILP/heuristic results yet)

  [wDLY  (1/100/1  delay-priority)]
    (no paired MILP/heuristic results yet)

  [wMOV  (1/1/100  movement-priority)]
    (no paired MILP/heuristic results yet)

==================================================================


==================================================================
  SUMMARY  —  360 ok  /  0 failed  /  360 total
==================================================================
  Instance                           Experiment  Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ---------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed1       igvnd_wMK   heuristic_     6298.50      61.50     126.50    22         -      60.0
  scn_chain_tight_P5_R10_seed1       igvnd_wDLY  heuristic_    10581.50      65.50     105.00    16         -      59.8
  scn_chain_tight_P5_R10_seed1       igvnd_wMOV  heuristic_      254.50      83.00     171.50     0         -      60.0
  scn_full_tight_P5_R10_seed1        igvnd_wMK   heuristic_     6706.00      65.50     150.00     6         -      60.0
  scn_full_tight_P5_R10_seed1        igvnd_wDLY  heuristic_    14656.00      70.00     145.50    36         -      60.0
  scn_full_tight_P5_R10_seed1        igvnd_wMOV  heuristic_      258.00      71.00     187.00     0         -      60.0
  scn_full_tight_P5_R20_seed1        igvnd_wMK   heuristic_    16971.00     158.00    1065.00   106         -      60.2
  scn_full_tight_P5_R20_seed1        igvnd_wDLY  heuristic_    95601.00     165.00     953.50    86         -      60.1
  scn_full_tight_P5_R20_seed1        igvnd_wMOV  heuristic_     1233.00     147.00    1086.00     0         -      60.4
  scn_hub_tight_P5_R10_seed1         igvnd_wMK   heuristic_     6163.00      60.50     113.00     0         -      60.0
  scn_hub_tight_P5_R10_seed1         igvnd_wDLY  heuristic_    10872.50      62.50     108.00    10         -      60.0
  scn_hub_tight_P5_R10_seed1         igvnd_wMOV  heuristic_      174.00      60.50     113.50     0         -      60.0
  scn_none_tight_P5_R10_seed1        igvnd_wMK   heuristic_     5844.50      57.50      94.50     0         -      50.3
  scn_none_tight_P5_R10_seed1        igvnd_wDLY  heuristic_     9408.50      58.50      93.50     0         -      30.5
  scn_none_tight_P5_R10_seed1        igvnd_wMOV  heuristic_      152.00      58.50      93.50     0         -      30.6
  scn_triangle_loose_P5_R10_seed1    igvnd_wMK   heuristic_     5872.50      58.50      14.50     8         -      60.0
  scn_triangle_loose_P5_R10_seed1    igvnd_wDLY  heuristic_      421.50      61.50       3.50    10         -      60.0
  scn_triangle_loose_P5_R10_seed1    igvnd_wMOV  heuristic_       67.50      61.50       6.00     0         -      60.1
  scn_triangle_medium_P5_R10_seed1   igvnd_wMK   heuristic_     5923.00      58.50      65.00     8         -      60.0
  scn_triangle_medium_P5_R10_seed1   igvnd_wDLY  heuristic_     5968.50      60.50      59.00     8         -      60.0
  scn_triangle_medium_P5_R10_seed1   igvnd_wMOV  heuristic_      125.50      61.50      64.00     0         -      60.0
  scn_triangle_tight_P5_R10_seed1    igvnd_wMK   heuristic_     5961.00      58.50     103.00     8         -      60.0
  scn_triangle_tight_P5_R10_seed1    igvnd_wDLY  heuristic_    10068.50      60.50     100.00     8         -      60.1
  scn_triangle_tight_P5_R10_seed1    igvnd_wMOV  heuristic_      167.50      61.50     106.00     0         -      60.0
  scn_triangle_tight_P5_R20_seed1    igvnd_wMK   heuristic_    12960.00     122.50     710.00     0         -      60.0
  scn_triangle_tight_P5_R20_seed1    igvnd_wDLY  heuristic_    63733.50     133.50     636.00     0         -      60.1
  scn_triangle_tight_P5_R20_seed1    igvnd_wMOV  heuristic_      806.50     133.50     673.00     0         -      60.0
  scn_triangle_tight_P5_R30_seed1    igvnd_wMK   heuristic_    24244.50     221.50    2094.50     0         -      60.2
  scn_triangle_tight_P5_R30_seed1    igvnd_wDLY  heuristic_   201083.50     233.50    2008.50     0         -      60.1
  scn_triangle_tight_P5_R30_seed1    igvnd_wMOV  heuristic_     2328.00     225.00    2103.00     0         -      60.2
  scn_triangle_tight_P5_R5_seed1     igvnd_wMK   heuristic_     3000.00      30.00       0.00     0         -       1.5
  scn_triangle_tight_P5_R5_seed1     igvnd_wDLY  heuristic_       30.00      30.00       0.00     0         -       1.8
  scn_triangle_tight_P5_R5_seed1     igvnd_wMOV  heuristic_       30.00      30.00       0.00     0         -       1.1
  scn_two_rows_tight_P5_R10_seed1    igvnd_wMK   heuristic_     5954.00      58.50      98.00     6         -      58.5
  scn_two_rows_tight_P5_R10_seed1    igvnd_wDLY  heuristic_     9763.50      59.50      97.00     4         -      57.0
  scn_two_rows_tight_P5_R10_seed1    igvnd_wMOV  heuristic_      160.00      61.50      98.50     0         -      45.2
  scn_chain_tight_P5_R10_seed2       igvnd_wMK   heuristic_     7200.00      70.50     130.00    20         -      60.0
  scn_chain_tight_P5_R10_seed2       igvnd_wDLY  heuristic_    12242.00      76.00     121.50    16         -      60.1
  scn_chain_tight_P5_R10_seed2       igvnd_wMOV  heuristic_      300.50      98.00     202.50     0         -      54.5
  scn_full_tight_P5_R10_seed2        igvnd_wMK   heuristic_     8177.50      79.50     193.50    34         -      60.1
  scn_full_tight_P5_R10_seed2        igvnd_wDLY  heuristic_    15232.50      78.50     151.50     4         -      60.0
  scn_full_tight_P5_R10_seed2        igvnd_wMOV  heuristic_      294.00     111.00     183.00     0         -      60.1
  scn_full_tight_P5_R20_seed2        igvnd_wMK   heuristic_    17314.50     159.50    1260.50   104         -      60.1
  scn_full_tight_P5_R20_seed2        igvnd_wDLY  heuristic_    92829.00     179.00     926.50     0         -      60.1
  scn_full_tight_P5_R20_seed2        igvnd_wMOV  heuristic_     1120.50     183.00     937.50     0         -      60.2
  scn_hub_tight_P5_R10_seed2         igvnd_wMK   heuristic_     7175.00      70.50     123.00     2         -      60.0
  scn_hub_tight_P5_R10_seed2         igvnd_wDLY  heuristic_    12372.50      70.50     123.00     2         -      60.0
  scn_hub_tight_P5_R10_seed2         igvnd_wMOV  heuristic_      194.50      70.50     124.00     0         -      60.0
  scn_none_tight_P5_R10_seed2        igvnd_wMK   heuristic_     6858.50      67.50     108.50     0         -      18.9
  scn_none_tight_P5_R10_seed2        igvnd_wDLY  heuristic_    10917.50      67.50     108.50     0         -      11.4
  scn_none_tight_P5_R10_seed2        igvnd_wMOV  heuristic_      176.00      67.50     108.50     0         -      12.3
  scn_triangle_loose_P5_R10_seed2    igvnd_wMK   heuristic_     6871.50      68.50      13.50     8         -      60.4
  scn_triangle_loose_P5_R10_seed2    igvnd_wDLY  heuristic_       81.50      71.50       0.00    10         -      51.0
  scn_triangle_loose_P5_R10_seed2    igvnd_wMOV  heuristic_       75.50      71.50       4.00     0         -      60.0
  scn_triangle_medium_P5_R10_seed2   igvnd_wMK   heuristic_     6927.50      68.50      65.50    12         -      60.1
  scn_triangle_medium_P5_R10_seed2   igvnd_wDLY  heuristic_     6583.50      71.50      65.00    12         -      60.0
  scn_triangle_medium_P5_R10_seed2   igvnd_wMOV  heuristic_      139.00      71.50      67.50     0         -      49.6
  scn_triangle_tight_P5_R10_seed2    igvnd_wMK   heuristic_     7171.00      70.50     119.00     2         -      60.0
  scn_triangle_tight_P5_R10_seed2    igvnd_wDLY  heuristic_    11732.50      70.50     116.50    12         -      60.1
  scn_triangle_tight_P5_R10_seed2    igvnd_wMOV  heuristic_      190.50      71.50     119.00     0         -      60.0
  scn_triangle_tight_P5_R20_seed2    igvnd_wMK   heuristic_    13539.00     128.50     689.00     0         -      60.1
  scn_triangle_tight_P5_R20_seed2    igvnd_wDLY  heuristic_    67629.50     129.50     675.00     0         -      60.1
  scn_triangle_tight_P5_R20_seed2    igvnd_wMOV  heuristic_      820.50     132.50     688.00     0         -      60.4
  scn_triangle_tight_P5_R30_seed2    igvnd_wMK   heuristic_    23918.00     218.50    2014.00    54         -      60.1
  scn_triangle_tight_P5_R30_seed2    igvnd_wDLY  heuristic_   186877.50     227.50    1866.50     0         -      60.1
  scn_triangle_tight_P5_R30_seed2    igvnd_wMOV  heuristic_     2102.00     230.50    1871.50     0         -      60.1
  scn_triangle_tight_P5_R5_seed2     igvnd_wMK   heuristic_     3700.00      37.00       0.00     0         -       1.1
  scn_triangle_tight_P5_R5_seed2     igvnd_wDLY  heuristic_       37.00      37.00       0.00     0         -       1.0
