==================================================================
  EXPERIMENT CONFIGURATIONS  (16 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               MIPGap=0.0

  Per-experiment parameters:
  Label               Solver                    weight_makespan  weight_delay  weight_movements  NoRelHeurTime  alpha  weight_topology  n_starts  seed
  ----------------------------------------------------------------------------------------------------------------------------------------------------
  milp_baseline       MILPSolver                0.1              1             10                0              —      —                —         —   
  topology_ms6        TopologyHeuristic         0.1              1             10                0              0.3    1                6         1   
  fas_on_topo         FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  safe_pipeline       FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  milp_baseline_heur  MILPSolver                0.1              1             10                30             —      —                —         —   
  topology_ms6_heur   TopologyHeuristic         0.1              1             10                30             0.3    1                6         1   
  fas_on_topo_heur    FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  safe_pipeline_heur  FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  milp_baseline_wB    MILPSolver                1                10            0.1               0              —      —                —         —   
  topology_ms6_wB     TopologyHeuristic         1                10            0.1               0              0.3    1                6         1   
  fas_on_topo_wB      FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  safe_pipeline_wB    FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  milp_baseline_wC    MILPSolver                10               0.1           1                 0              —      —                —         —   
  topology_ms6_wC     TopologyHeuristic         10               0.1           1                 0              0.3    1                6         1   
  fas_on_topo_wC      FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
  safe_pipeline_wC    FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  156 ok  /  4 failed  /  160 total
==================================================================
  Instance                      Experiment          Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ------------------------------------------------------------------------------------------------------------------------
  scn_full_tight_P5_R10_seed1   milp_baseline       maxTimeLim      254.28      93.99     244.89     0    99.24%      73.3
  scn_full_tight_P5_R10_seed1   topology_ms6        topology (      128.55      45.84     123.97     0         -      60.0
  scn_full_tight_P5_R10_seed1   fas_on_topo         optimal         128.55      45.84     123.97     0     0.00%       0.2
  scn_full_tight_P5_R10_seed1   safe_pipeline       optimal         128.55      45.84     123.97     0         -       0.0
  scn_full_tight_P5_R10_seed1   milp_baseline_heur  maxTimeLim      293.54     110.16     282.52     0    99.34%      75.3
  scn_full_tight_P5_R10_seed1   topology_ms6_heur   topology (      128.55      45.84     123.97     0         -      60.0
  scn_full_tight_P5_R10_seed1   fas_on_topo_heur    optimal         128.55      45.84     123.97     0     0.00%       0.2
  scn_full_tight_P5_R10_seed1   safe_pipeline_heur  optimal         128.55      45.84     123.97     0         -       0.0
  scn_full_tight_P5_R10_seed1   milp_baseline_wB    maxTimeLim     1833.69      66.33     176.52    22    98.95%      82.2
  scn_full_tight_P5_R10_seed1   topology_ms6_wB     topology (     1156.22      42.42     111.18    20         -      60.0
  scn_full_tight_P5_R10_seed1   fas_on_topo_wB      optimal        1176.47      43.67     113.02    26     0.00%       0.2
  scn_full_tight_P5_R10_seed1   safe_pipeline_wB    topology (     1156.22      42.42     111.18    20         -       0.0
  scn_full_tight_P5_R10_seed1   milp_baseline_wC    maxTimeLim      714.73      67.50     257.11    14    72.95%      77.8
  scn_full_tight_P5_R10_seed1   topology_ms6_wC     topology (      436.40      41.01     123.39    14         -      60.0
  scn_full_tight_P5_R10_seed1   fas_on_topo_wC      optimal         430.29      41.01     122.26     8     0.00%       0.2
  scn_full_tight_P5_R10_seed1   safe_pipeline_wC    optimal         430.29      41.01     122.26     8         -       0.0
  scn_full_tight_P5_R10_seed10  milp_baseline       maxTimeLim      189.75      68.97     182.85     0    99.04%      87.3
  scn_full_tight_P5_R10_seed10  topology_ms6        topology (      130.93      45.72     126.36     0         -      60.0
  scn_full_tight_P5_R10_seed10  fas_on_topo         optimal         131.53      45.72     126.96     0     0.00%       0.3
