==================================================================
  EXPERIMENT CONFIGURATIONS  (16 experiments)
==================================================================
  Shared parameters:
    time_limit_s=60               MIPGap=0.0

  Per-experiment parameters:
  Label               Solver                    weight_makespan  weight_delay  weight_movements  NoRelHeurTime  alpha  weight_topology  n_starts  seed
  ----------------------------------------------------------------------------------------------------------------------------------------------------
  milp_baseline       MILPSolver                0.1              1             10                0              —      —                —         —   
  topology_ms6        TopologyHeuristic         0.1              1             10                0              0.3    1                6         1   
  fas_on_topo         FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  safe_pipeline       FixedAssignmentScheduler  0.1              1             10                0              —      —                —         —   
  milp_baseline_heur  MILPSolver                0.1              1             10                30             —      —                —         —   
  topology_ms6_heur   TopologyHeuristic         0.1              1             10                30             0.3    1                6         1   
  fas_on_topo_heur    FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  safe_pipeline_heur  FixedAssignmentScheduler  0.1              1             10                30             —      —                —         —   
  milp_baseline_wB    MILPSolver                1                10            0.1               0              —      —                —         —   
  topology_ms6_wB     TopologyHeuristic         1                10            0.1               0              0.3    1                6         1   
  fas_on_topo_wB      FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  safe_pipeline_wB    FixedAssignmentScheduler  1                10            0.1               0              —      —                —         —   
  milp_baseline_wC    MILPSolver                10               0.1           1                 0              —      —                —         —   
  topology_ms6_wC     TopologyHeuristic         10               0.1           1                 0              0.3    1                6         1   
  fas_on_topo_wC      FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
  safe_pipeline_wC    FixedAssignmentScheduler  10               0.1           1                 0              —      —                —         —   
==================================================================



==================================================================
  SUMMARY  —  160 ok  /  0 failed  /  160 total
==================================================================
  Instance                      Experiment          Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ------------------------------------------------------------------------------------------------------------------------
  scn_none_tight_P5_R10_seed1   milp_baseline       maxTimeLim      115.39      42.12     111.18     0    98.32%      64.8
  scn_none_tight_P5_R10_seed1   topology_ms6        topology (      115.42      42.42     111.18     0         -      60.0
  scn_none_tight_P5_R10_seed1   fas_on_topo         optimal         115.42      42.42     111.18     0     0.00%       0.0
  scn_none_tight_P5_R10_seed1   safe_pipeline       optimal         115.42      42.42     111.18     0         -       0.0
  scn_none_tight_P5_R10_seed1   milp_baseline_heur  maxTimeLim      115.39      42.12     111.18     0    98.32%      65.9
  scn_none_tight_P5_R10_seed1   topology_ms6_heur   topology (      115.42      42.42     111.18     0         -      60.0
  scn_none_tight_P5_R10_seed1   fas_on_topo_heur    optimal         115.42      42.42     111.18     0     0.00%       0.0
  scn_none_tight_P5_R10_seed1   safe_pipeline_heur  optimal         115.42      42.42     111.18     0         -       0.0
  scn_none_tight_P5_R10_seed1   milp_baseline_wB    maxTimeLim     1153.92      42.12     111.18     0    98.32%      67.6
  scn_none_tight_P5_R10_seed1   topology_ms6_wB     topology (     1154.22      42.42     111.18     0         -      60.0
  scn_none_tight_P5_R10_seed1   fas_on_topo_wB      optimal        1154.22      42.42     111.18     0     0.00%       0.0
  scn_none_tight_P5_R10_seed1   safe_pipeline_wB    topology (     1154.22      42.42     111.18     0         -       0.0
  scn_none_tight_P5_R10_seed1   milp_baseline_wC    maxTimeLim      421.70      41.01     116.41     0     4.97%      68.8
  scn_none_tight_P5_R10_seed1   topology_ms6_wC     topology (      421.70      41.01     116.41     0         -      60.0
  scn_none_tight_P5_R10_seed1   fas_on_topo_wC      optimal         421.70      41.01     116.41     0     0.00%       0.0
  scn_none_tight_P5_R10_seed1   safe_pipeline_wC    optimal         421.70      41.01     116.41     0         -       0.0
  scn_none_tight_P5_R10_seed10  milp_baseline       maxTimeLim      117.57      41.64     113.41     0    98.45%      67.8
  scn_none_tight_P5_R10_seed10  topology_ms6        topology (      116.93      43.61     112.56     0         -      60.0
  scn_none_tight_P5_R10_seed10  fas_on_topo         optimal         116.93      43.61     112.56     0     0.00%       0.1
  scn_none_tight_P5_R10_seed10  safe_pipeline       topology (      116.93      43.61     112.56     0         -       0.0
  scn_none_tight_P5_R10_seed10  milp_baseline_heur  maxTimeLim      118.88      42.48     114.63     0    98.47%      90.5
  scn_none_tight_P5_R10_seed10  topology_ms6_heur   topology (      116.93      43.61     112.56     0         -      60.0
