==================================================================
  EXPERIMENT CONFIGURATIONS  (1 experiments)
  Code state (git): bab9773
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    weight_makespan=1             MIPGap=0.0
    weight_delay=1                NoRelHeurTime=0
    weight_movements=100          seed=1
    time_limit_s=60               

  Per-experiment parameters:
  Label          Solver                 
  --------------------------------------
  ta_brkga_wMOV  TheoryAssistedJobSolver
==================================================================


  (gap summary unavailable: 'wMK')


==================================================================
  SUMMARY  —  120 ok  /  0 failed  /  120 total
==================================================================
  Instance                           Experiment     Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed1       ta_brkga_wMOV  heuristic       327.50      93.50     234.00     0         -      60.1
  scn_full_tight_P5_R10_seed1        ta_brkga_wMOV  heuristic       313.50      85.00     228.50     0         -      60.2
  scn_full_tight_P5_R20_seed1        ta_brkga_wMOV  heuristic      2063.00     277.50    1785.50     0         -      60.9
  scn_hub_tight_P5_R10_seed1         ta_brkga_wMOV  heuristic       213.00      75.00     138.00     0         -      60.1
  scn_none_tight_P5_R10_seed1        ta_brkga_wMOV  heuristic       152.00      58.50      93.50     0         -      60.0
  scn_triangle_loose_P5_R10_seed1    ta_brkga_wMOV  heuristic        99.50      70.00      29.50     0         -      60.1
  scn_triangle_medium_P5_R10_seed1   ta_brkga_wMOV  heuristic       151.00      70.00      81.00     0         -      60.1
  scn_triangle_tight_P5_R10_seed1    ta_brkga_wMOV  heuristic       194.00      72.00     122.00     0         -      60.1
  scn_triangle_tight_P5_R20_seed1    ta_brkga_wMOV  heuristic       806.00     133.50     672.50     0         -      60.4
  scn_triangle_tight_P5_R30_seed1    ta_brkga_wMOV  heuristic      2425.50     273.50    2152.00     0         -      61.4
  scn_triangle_tight_P5_R5_seed1     ta_brkga_wMOV  heuristic        30.00      30.00       0.00     0         -      60.0
  scn_two_rows_tight_P5_R10_seed1    ta_brkga_wMOV  heuristic       182.00      67.00     115.00     0         -      60.0
  scn_chain_tight_P5_R10_seed2       ta_brkga_wMOV  heuristic       402.50     111.50     291.00     0         -      60.1
  scn_full_tight_P5_R10_seed2        ta_brkga_wMOV  heuristic       516.50     133.50     383.00     0         -      60.3
  scn_full_tight_P5_R20_seed2        ta_brkga_wMOV  heuristic      2351.50     326.00    2025.50     0         -      62.0
  scn_hub_tight_P5_R10_seed2         ta_brkga_wMOV  heuristic       227.00      85.00     142.00     0         -      60.1
  scn_none_tight_P5_R10_seed2        ta_brkga_wMOV  heuristic       176.00      67.50     108.50     0         -      60.0
  scn_triangle_loose_P5_R10_seed2    ta_brkga_wMOV  heuristic       153.00     101.50      51.50     0         -      60.1
  scn_triangle_medium_P5_R10_seed2   ta_brkga_wMOV  heuristic       210.50      90.00     120.50     0         -      60.1
  scn_triangle_tight_P5_R10_seed2    ta_brkga_wMOV  heuristic       257.50      94.00     163.50     0         -      60.1
  scn_triangle_tight_P5_R20_seed2    ta_brkga_wMOV  heuristic       892.50     156.00     736.50     0         -      60.5
  scn_triangle_tight_P5_R30_seed2    ta_brkga_wMOV  heuristic      2470.50     261.50    2209.00     0         -      61.1
  scn_triangle_tight_P5_R5_seed2     ta_brkga_wMOV  heuristic        37.00      37.00       0.00     0         -      60.0
  scn_two_rows_tight_P5_R10_seed2    ta_brkga_wMOV  heuristic       240.00      79.00     161.00     0         -      60.1
  scn_chain_tight_P5_R10_seed3       ta_brkga_wMOV  heuristic       237.00      77.00     160.00     0         -      60.1
  scn_full_tight_P5_R10_seed3        ta_brkga_wMOV  heuristic       485.50     110.00     375.50     0         -      60.2
  scn_full_tight_P5_R20_seed3        ta_brkga_wMOV  heuristic      2544.00     349.00    2195.00     0         -      61.1
  scn_hub_tight_P5_R10_seed3         ta_brkga_wMOV  heuristic       229.00      77.00     152.00     0         -      60.1
  scn_none_tight_P5_R10_seed3        ta_brkga_wMOV  heuristic       160.00      62.50      97.50     0         -      60.0
  scn_triangle_loose_P5_R10_seed3    ta_brkga_wMOV  heuristic       127.50      85.50      42.00     0         -      60.1
  scn_triangle_medium_P5_R10_seed3   ta_brkga_wMOV  heuristic       197.00      84.50     112.50     0         -      60.1
  scn_triangle_tight_P5_R10_seed3    ta_brkga_wMOV  heuristic       191.00      70.00     121.00     0         -      60.1
  scn_triangle_tight_P5_R20_seed3    ta_brkga_wMOV  heuristic       924.50     152.00     772.50     0         -      60.5
  scn_triangle_tight_P5_R30_seed3    ta_brkga_wMOV  heuristic      3020.50     280.00    2740.50     0         -      61.1
  scn_triangle_tight_P5_R5_seed3     ta_brkga_wMOV  heuristic        43.50      31.00      12.50     0         -      60.0
  scn_two_rows_tight_P5_R10_seed3    ta_brkga_wMOV  heuristic       171.00      67.50     103.50     0         -      60.0
  scn_chain_tight_P5_R10_seed4       ta_brkga_wMOV  heuristic       334.50      97.00     237.50     0         -      60.1
  scn_full_tight_P5_R10_seed4        ta_brkga_wMOV  heuristic       463.00     144.50     318.50     0         -      60.2
  scn_full_tight_P5_R20_seed4        ta_brkga_wMOV  heuristic      2151.50     311.00    1840.50     0         -      61.1
  scn_hub_tight_P5_R10_seed4         ta_brkga_wMOV  heuristic       230.00      86.00     144.00     0         -      60.1
  scn_none_tight_P5_R10_seed4        ta_brkga_wMOV  heuristic       188.00      72.50     115.50     0         -      60.0
  scn_triangle_loose_P5_R10_seed4    ta_brkga_wMOV  heuristic       122.50      91.00      31.50     0         -      60.1
  scn_triangle_medium_P5_R10_seed4   ta_brkga_wMOV  heuristic       189.00      91.00      98.00     0         -      60.1
  scn_triangle_tight_P5_R10_seed4    ta_brkga_wMOV  heuristic       218.00      82.00     136.00     0         -      60.1
  scn_triangle_tight_P5_R20_seed4    ta_brkga_wMOV  heuristic       847.50     135.50     712.00     0         -      60.6
  scn_triangle_tight_P5_R30_seed4    ta_brkga_wMOV  heuristic      2912.50     278.50    2634.00     0         -      60.8
  scn_triangle_tight_P5_R5_seed4     ta_brkga_wMOV  heuristic        59.50      44.00      15.50     0         -      60.0
  scn_two_rows_tight_P5_R10_seed4    ta_brkga_wMOV  heuristic       192.00      76.50     115.50     0         -      60.1
  scn_chain_tight_P5_R10_seed5       ta_brkga_wMOV  heuristic       306.50      89.50     217.00     0         -      60.1
  scn_full_tight_P5_R10_seed5        ta_brkga_wMOV  heuristic       325.50     116.50     209.00     0         -      60.2
  scn_full_tight_P5_R20_seed5        ta_brkga_wMOV  heuristic      2125.50     309.00    1816.50     0         -      61.1
  scn_hub_tight_P5_R10_seed5         ta_brkga_wMOV  heuristic       204.00      71.00     133.00     0         -      60.1
  scn_none_tight_P5_R10_seed5        ta_brkga_wMOV  heuristic       141.00      55.50      85.50     0         -      60.0
  scn_triangle_loose_P5_R10_seed5    ta_brkga_wMOV  heuristic        97.50      75.50      22.00     0         -      60.1
  scn_triangle_medium_P5_R10_seed5   ta_brkga_wMOV  heuristic       158.50      75.00      83.50     0         -      60.1
  scn_triangle_tight_P5_R10_seed5    ta_brkga_wMOV  heuristic       193.50      71.00     122.50     0         -      60.1
  scn_triangle_tight_P5_R20_seed5    ta_brkga_wMOV  heuristic       877.00     142.50     734.50     0         -      60.4
  scn_triangle_tight_P5_R30_seed5    ta_brkga_wMOV  heuristic      2292.50     228.50    2064.00     0         -      61.1
  scn_triangle_tight_P5_R5_seed5     ta_brkga_wMOV  heuristic        52.00      38.50      13.50     0         -      60.0
  scn_two_rows_tight_P5_R10_seed5    ta_brkga_wMOV  heuristic       195.50      74.00     121.50     0         -      60.0
  scn_chain_tight_P5_R10_seed6       ta_brkga_wMOV  heuristic       347.00      98.00     249.00     0         -      60.1
  scn_full_tight_P5_R10_seed6        ta_brkga_wMOV  heuristic       416.00     101.50     314.50     0         -      60.2
  scn_full_tight_P5_R20_seed6        ta_brkga_wMOV  heuristic      2377.50     340.50    2037.00     0         -      61.2
  scn_hub_tight_P5_R10_seed6         ta_brkga_wMOV  heuristic       223.00      88.00     135.00     0         -      60.1
  scn_none_tight_P5_R10_seed6        ta_brkga_wMOV  heuristic       168.00      64.50     103.50     0         -      60.0
  scn_triangle_loose_P5_R10_seed6    ta_brkga_wMOV  heuristic       125.00      88.00      37.00     0         -      60.1
  scn_triangle_medium_P5_R10_seed6   ta_brkga_wMOV  heuristic       192.00      88.00     104.00     0         -      60.1
  scn_triangle_tight_P5_R10_seed6    ta_brkga_wMOV  heuristic       238.00      88.00     150.00     0         -      60.1
  scn_triangle_tight_P5_R20_seed6    ta_brkga_wMOV  heuristic      1045.50     158.50     887.00     0         -      60.5
  scn_triangle_tight_P5_R30_seed6    ta_brkga_wMOV  heuristic      3141.00     301.00    2840.00     0         -      61.7
  scn_triangle_tight_P5_R5_seed6     ta_brkga_wMOV  heuristic        39.00      39.00       0.00     0         -      60.0
  scn_two_rows_tight_P5_R10_seed6    ta_brkga_wMOV  heuristic       238.00      88.00     150.00     0         -      60.0
  scn_chain_tight_P5_R10_seed7       ta_brkga_wMOV  heuristic       281.00      91.00     190.00     0         -      60.1
  scn_full_tight_P5_R10_seed7        ta_brkga_wMOV  heuristic       503.00     131.00     372.00     0         -      60.2
  scn_full_tight_P5_R20_seed7        ta_brkga_wMOV  heuristic      2226.00     334.50    1891.50     0         -      61.8
  scn_hub_tight_P5_R10_seed7         ta_brkga_wMOV  heuristic       203.00      77.00     126.00     0         -      60.1
  scn_none_tight_P5_R10_seed7        ta_brkga_wMOV  heuristic       148.00      62.50      85.50     0         -      60.0
  scn_triangle_loose_P5_R10_seed7    ta_brkga_wMOV  heuristic       108.00      81.50      26.50     0         -      60.1
  scn_triangle_medium_P5_R10_seed7   ta_brkga_wMOV  heuristic       165.50      73.50      92.00     0         -      60.1
