==================================================================
  EXPERIMENT CONFIGURATIONS  (2 experiments)
  Code state (git): ca78b98
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    weight_movements=1            NoRelHeurTime=0
    time_limit_s=60               seed=1
    MIPGap=0.0                    

  Per-experiment parameters:
  Label          Solver                   weight_makespan  weight_delay
  ---------------------------------------------------------------------
  ta_brkga_wMK   TheoryAssistedJobSolver  100              1           
  ta_brkga_wDLY  TheoryAssistedJobSolver  1                100         
==================================================================


  (gap summary unavailable: 'wMOV')


==================================================================
  SUMMARY  —  60 ok  /  0 failed  /  60 total
==================================================================
  Instance                          Experiment     Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  -----------------------------------------------------------------------------------------------------------------------
  scn_full_tight_P5_R20_seed1       ta_brkga_wMK   heuristic     27398.50     254.50    1886.50    62         -      60.0
  scn_full_tight_P5_R20_seed1       ta_brkga_wDLY  heuristic    184353.50     249.50    1840.50    54         -      60.0
  scn_triangle_tight_P5_R20_seed1   ta_brkga_wMK   heuristic     14968.50     141.50     786.50    32         -      60.0
  scn_triangle_tight_P5_R20_seed1   ta_brkga_wDLY  heuristic     71568.00     144.00     714.00    24         -      60.0
  scn_triangle_tight_P5_R30_seed1   ta_brkga_wMK   heuristic     29798.00     268.00    2958.00    40         -      60.0
  scn_triangle_tight_P5_R30_seed1   ta_brkga_wDLY  heuristic    278079.00     297.00    2777.50    32         -      60.0
  scn_full_tight_P5_R20_seed2       ta_brkga_wMK   heuristic     31653.50     295.50    2075.50    28         -      60.0
  scn_full_tight_P5_R20_seed2       ta_brkga_wDLY  heuristic    202800.00     260.00    2025.00    40         -      60.0
  scn_triangle_tight_P5_R20_seed2   ta_brkga_wMK   heuristic     14708.50     139.00     778.50    30         -      60.0
  scn_triangle_tight_P5_R20_seed2   ta_brkga_wDLY  heuristic     68420.00     150.00     682.50    20         -      60.0
  scn_triangle_tight_P5_R30_seed2   ta_brkga_wMK   heuristic     28592.00     256.50    2904.00    38         -      60.0
  scn_triangle_tight_P5_R30_seed2   ta_brkga_wDLY  heuristic    259928.00     288.00    2596.00    40         -      60.0
  scn_full_tight_P5_R20_seed3       ta_brkga_wMK   heuristic     30267.00     282.50    1971.00    46         -      60.0
  scn_full_tight_P5_R20_seed3       ta_brkga_wDLY  heuristic    202083.00     327.00    2017.00    56         -      60.1
  scn_triangle_tight_P5_R20_seed3   ta_brkga_wMK   heuristic     14987.00     141.00     859.00    28         -      60.0
  scn_triangle_tight_P5_R20_seed3   ta_brkga_wDLY  heuristic     78720.00     140.00     785.50    30         -      60.0
  scn_triangle_tight_P5_R30_seed3   ta_brkga_wMK   heuristic     30724.50     277.50    2946.50    28         -      60.0
  scn_triangle_tight_P5_R30_seed3   ta_brkga_wDLY  heuristic    283769.00     293.00    2834.50    26         -      60.0
  scn_full_tight_P5_R20_seed4       ta_brkga_wMK   heuristic     26030.50     240.50    1912.50    68         -      60.1
  scn_full_tight_P5_R20_seed4       ta_brkga_wDLY  heuristic    186742.50     284.50    1864.00    58         -      60.0
  scn_triangle_tight_P5_R20_seed4   ta_brkga_wMK   heuristic     15454.00     144.50     978.00    26         -      60.0
  scn_triangle_tight_P5_R20_seed4   ta_brkga_wDLY  heuristic     81760.50     140.50     816.00    20         -      60.0
  scn_triangle_tight_P5_R30_seed4   ta_brkga_wMK   heuristic     29220.00     262.00    2974.00    46         -      60.0
  scn_triangle_tight_P5_R30_seed4   ta_brkga_wDLY  heuristic    287375.00     289.00    2870.50    36         -      60.0
  scn_full_tight_P5_R20_seed5       ta_brkga_wMK   heuristic     29608.00     274.50    2096.00    62         -      60.0
  scn_full_tight_P5_R20_seed5       ta_brkga_wDLY  heuristic    179062.50     300.50    1787.00    62         -      60.0
  scn_triangle_tight_P5_R20_seed5   ta_brkga_wMK   heuristic     14048.00     133.00     726.00    22         -      60.0
  scn_triangle_tight_P5_R20_seed5   ta_brkga_wDLY  heuristic     68830.00     146.00     686.50    34         -      60.0
  scn_triangle_tight_P5_R30_seed5   ta_brkga_wMK   heuristic     30495.50     274.00    3061.50    34         -      60.0
  scn_triangle_tight_P5_R30_seed5   ta_brkga_wDLY  heuristic    275225.00     301.00    2749.00    24         -      60.0
  scn_full_tight_P5_R20_seed6       ta_brkga_wMK   heuristic     27010.00     251.50    1806.00    54         -      60.0
