==================================================================
  EXPERIMENT CONFIGURATIONS  (2 experiments)
==================================================================
  Shared parameters:
    weight_makespan=0.1           time_limit_s=60
    weight_delay=1.0              MIPGap=0.0
    weight_movements=10           NoRelHeurTime=0

  Per-experiment parameters:
  Label               Solver              cuts
  --------------------------------------------
  milp_baseline       MILPAircraftSolver  none
  milp_baseline_cuts  MILPAircraftSolver  all 
==================================================================



==================================================================
  SUMMARY  —  24 ok  /  0 failed  /  24 total
==================================================================
  Instance                          Experiment          Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ----------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed1      milp_baseline       maxTimeLim      172.55      85.50     164.00     0    97.28%      60.3
  scn_chain_tight_P5_R10_seed1      milp_baseline_cuts  maxTimeLim      155.35      83.50     147.00     0    96.65%      60.3
  scn_full_tight_P5_R10_seed1       milp_baseline       maxTimeLim      184.55      90.50     175.50     0    98.00%      60.6
  scn_full_tight_P5_R10_seed1       milp_baseline_cuts  maxTimeLim      211.25      87.50     202.50     0    97.56%      60.6
  scn_full_tight_P5_R20_seed1       milp_baseline       maxTimeLim     1647.55     205.50    1147.00    48    99.70%      62.1
  scn_full_tight_P5_R20_seed1       milp_baseline_cuts  maxTimeLim     1649.15     181.50    1131.00    50    99.33%      62.1
  scn_hub_tight_P5_R10_seed1        milp_baseline       maxTimeLim      114.45      59.50     108.50     0    68.94%      60.3
  scn_hub_tight_P5_R10_seed1        milp_baseline_cuts  maxTimeLim      120.65      61.50     114.50     0    78.60%      60.3
  scn_none_tight_P5_R10_seed1       milp_baseline       optimal          99.35      58.50      93.50     0     0.00%       4.7
  scn_none_tight_P5_R10_seed1       milp_baseline_cuts  optimal          99.35      58.50      93.50     0     0.00%      12.5
  scn_triangle_loose_P5_R10_seed1   milp_baseline       optimal           9.55      60.50       3.50     0     0.00%       7.6
  scn_triangle_loose_P5_R10_seed1   milp_baseline_cuts  optimal           9.55      60.50       3.50     0     0.00%      19.3
  scn_triangle_medium_P5_R10_seed1  milp_baseline       maxTimeLim       61.35      58.50      55.50     0    75.47%      60.2
  scn_triangle_medium_P5_R10_seed1  milp_baseline_cuts  maxTimeLim       61.45      59.50      55.50     0    91.58%      60.3
  scn_triangle_tight_P5_R10_seed1   milp_baseline       maxTimeLim      102.65      61.50      96.50     0    82.71%      60.3
  scn_triangle_tight_P5_R10_seed1   milp_baseline_cuts  maxTimeLim      102.35      58.50      96.50     0    94.68%      60.2
  scn_triangle_tight_P5_R20_seed1   milp_baseline       maxTimeLim      864.60     146.00     850.00     0    99.42%      60.8
  scn_triangle_tight_P5_R20_seed1   milp_baseline_cuts  maxTimeLim      800.95     154.50     725.50     6    98.62%      60.8
  scn_triangle_tight_P5_R30_seed1   milp_baseline       maxTimeLim     2687.40     274.00    2380.00    28    99.74%      61.8
  scn_triangle_tight_P5_R30_seed1   milp_baseline_cuts  maxTimeLim     2656.90     249.00    2272.00    36    99.24%      61.9
  scn_triangle_tight_P5_R5_seed1    milp_baseline       optimal           3.00      30.00       0.00     0     0.00%       0.1
  scn_triangle_tight_P5_R5_seed1    milp_baseline_cuts  optimal           3.00      30.00       0.00     0     0.00%       0.1
  scn_two_rows_tight_P5_R10_seed1   milp_baseline       maxTimeLim      101.35      58.50      95.50     0    75.53%      60.2
  scn_two_rows_tight_P5_R10_seed1   milp_baseline_cuts  maxTimeLim      101.55      60.50      95.50     0    94.70%      60.2
==================================================================
