==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): 14cc776
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    

  Per-experiment parameters:
  Label          Solver            weight_makespan  weight_delay  weight_movements
  --------------------------------------------------------------------------------
  milp_job_wMK   MILPJobsV2Solver  100              1             1               
  milp_job_wDLY  MILPJobsV2Solver  1                100           1               
  milp_job_wMOV  MILPJobsV2Solver  1                1             100             
==================================================================


==================================================================
  HEURISTIC vs MILP  —  relative gap per instance type
  gap = (MILP_obj - heuristic_obj) / MILP_obj
  gap > 0  =>  heuristic BETTER (lower objective);  < 0  => worse
  heuristic: igvnd_wMK / igvnd_wDLY / igvnd_wMOV   (MILP rows from cache)
==================================================================
  -- Relative objective gap, by weight profile --
  [wMK  (100/1/1  makespan-priority)]
    (no paired MILP/heuristic results yet)

  [wDLY  (1/100/1  delay-priority)]
    (no paired MILP/heuristic results yet)

  [wMOV  (1/1/100  movement-priority)]
    (no paired MILP/heuristic results yet)

  -- Relative objective gap, aggregated over all profiles --
  [ALL profiles]
    (no paired MILP/heuristic results yet)

  -- Per-component mean Δ (heuristic − MILP); negative = heuristic better --
  -- (relative gap is distorted when the optimum delay ≈ 0; read these too)
  [wMK  (100/1/1  makespan-priority)]
    (no paired MILP/heuristic results yet)

  [wDLY  (1/100/1  delay-priority)]
    (no paired MILP/heuristic results yet)

  [wMOV  (1/1/100  movement-priority)]
    (no paired MILP/heuristic results yet)

==================================================================


==================================================================
  SUMMARY  —  261 ok  /  0 failed  /  261 total
==================================================================
  Instance                           Experiment     Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ------------------------------------------------------------------------------------------------------------------------
  scn_chain_tight_P5_R10_seed8       milp_job_wMK   maxTimeLim     6187.00      60.50     125.00    12     1.80%      60.7
  scn_chain_tight_P5_R10_seed8       milp_job_wDLY  maxTimeLim    12478.00      62.00     124.00    16    99.69%      60.7
  scn_chain_tight_P5_R10_seed8       milp_job_wMOV  maxTimeLim      177.00      63.50     113.50     0    77.97%      60.6
  scn_full_tight_P5_R10_seed8        milp_job_wMK   maxTimeLim     6407.50      62.50     125.50    32    39.13%      61.4
  scn_full_tight_P5_R10_seed8        milp_job_wDLY  maxTimeLim    13089.00      65.00     130.00    24    99.70%      61.5
  scn_full_tight_P5_R10_seed8        milp_job_wMOV  maxTimeLim      177.00      63.50     113.50     0    77.97%      61.4
  scn_full_tight_P5_R20_seed8        milp_job_wMK   maxTimeLim    29905.00     278.50    2055.00     0    83.28%      65.8
  scn_full_tight_P5_R20_seed8        milp_job_wDLY  maxTimeLim   118439.00     187.00    1182.50     2    99.96%      65.8
  scn_full_tight_P5_R20_seed8        milp_job_wMOV  maxTimeLim     1461.00     205.00    1256.00     0    96.58%      65.7
  scn_hub_tight_P5_R10_seed8         milp_job_wMK   optimal        6157.50      60.50     107.50     0     0.00%       9.6
  scn_hub_tight_P5_R10_seed8         milp_job_wDLY  maxTimeLim    10812.50      62.50     107.50     0    80.94%      60.6
  scn_hub_tight_P5_R10_seed8         milp_job_wMOV  maxTimeLim      168.00      60.50     107.50     0    30.36%      60.6
  scn_none_tight_P5_R10_seed8        milp_job_wMK   optimal        6050.50      59.50     100.50     0     0.00%       0.2
  scn_none_tight_P5_R10_seed8        milp_job_wDLY  optimal       10109.50      59.50     100.50     0     0.00%       2.3
  scn_none_tight_P5_R10_seed8        milp_job_wMOV  optimal         160.00      59.50     100.50     0     0.00%       2.5
  scn_triangle_loose_P5_R10_seed8    milp_job_wMK   optimal        6056.00      60.50       6.00     0     0.00%      11.3
  scn_triangle_loose_P5_R10_seed8    milp_job_wDLY  optimal          69.50      61.50       0.00     8     0.00%       7.2
  scn_triangle_loose_P5_R10_seed8    milp_job_wMOV  optimal          62.00      61.50       0.50     0     0.00%       3.7
  scn_triangle_loose_P5_R20_seed8    milp_job_wMK   maxTimeLim    14400.50     139.00     498.50     2    65.28%      61.9
  scn_triangle_loose_P5_R20_seed8    milp_job_wDLY  maxTimeLim    43943.00     143.00     438.00     0    99.89%      61.9
  scn_triangle_loose_P5_R20_seed8    milp_job_wMOV  maxTimeLim      603.00     145.00     458.00     0    91.71%      61.9
  scn_triangle_loose_P5_R30_seed8    milp_job_wMK   maxTimeLim    34880.00     324.50    2430.00     0    79.36%      64.8
  scn_triangle_loose_P5_R30_seed8    milp_job_wDLY  maxTimeLim   266089.50     389.50    2657.00     0    99.97%      64.8
  scn_triangle_loose_P5_R30_seed8    milp_job_wMOV  maxTimeLim     2518.00     301.00    2217.00     0    97.14%      64.8
  scn_triangle_loose_P5_R5_seed8     milp_job_wMK   optimal        2800.00      28.00       0.00     0     0.00%       0.1
  scn_triangle_loose_P5_R5_seed8     milp_job_wDLY  optimal          28.00      28.00       0.00     0     0.00%       0.1
  scn_triangle_loose_P5_R5_seed8     milp_job_wMOV  optimal          28.00      28.00       0.00     0     0.00%       0.1
  scn_triangle_medium_P5_R10_seed8   milp_job_wMK   optimal        6116.50      60.50      66.50     0     0.00%      22.2
  scn_triangle_medium_P5_R10_seed8   milp_job_wDLY  maxTimeLim     6011.50      61.50      59.50     0    99.35%      60.5
  scn_triangle_medium_P5_R10_seed8   milp_job_wMOV  maxTimeLim      121.00      61.50      59.50     0    42.98%      60.5
  scn_triangle_medium_P5_R20_seed8   milp_job_wMK   maxTimeLim    14854.00     141.00     750.00     4    66.34%      61.9
  scn_triangle_medium_P5_R20_seed8   milp_job_wDLY  maxTimeLim    70461.00     143.00     703.00    18    99.93%      61.9
  scn_triangle_medium_P5_R20_seed8   milp_job_wMOV  maxTimeLim      773.50     140.00     633.50     0    93.54%      61.9
  scn_triangle_medium_P5_R30_seed8   milp_job_wMK   maxTimeLim    29209.00     267.00    2505.00     4    75.35%      65.0
  scn_triangle_medium_P5_R30_seed8   milp_job_wDLY  maxTimeLim   310947.00     347.00    3106.00     0    99.98%      64.8
  scn_triangle_medium_P5_R30_seed8   milp_job_wMOV  maxTimeLim     3935.50     396.50    3539.00     0    98.17%      64.7
  scn_triangle_medium_P5_R5_seed8    milp_job_wMK   optimal        2800.00      28.00       0.00     0     0.00%       0.1
  scn_triangle_medium_P5_R5_seed8    milp_job_wDLY  optimal          28.00      28.00       0.00     0     0.00%       0.1
  scn_triangle_medium_P5_R5_seed8    milp_job_wMOV  optimal          28.00      28.00       0.00     0     0.00%       0.1
  scn_triangle_tight_P5_R10_seed8    milp_job_wMK   optimal        6159.50      60.50     109.50     0     0.00%      25.6
  scn_triangle_tight_P5_R10_seed8    milp_job_wDLY  maxTimeLim    10411.50      61.50     103.50     0    99.63%      60.5
  scn_triangle_tight_P5_R10_seed8    milp_job_wMOV  maxTimeLim      165.00      61.50     103.50     0    51.72%      60.5
  scn_triangle_tight_P5_R20_seed8    milp_job_wMK   maxTimeLim    13598.00     128.50     732.00    16    63.23%      61.9
  scn_triangle_tight_P5_R20_seed8    milp_job_wDLY  maxTimeLim    78850.00     150.00     787.00     0    99.94%      61.8
  scn_triangle_tight_P5_R20_seed8    milp_job_wMOV  maxTimeLim      899.50     148.00     751.50     0    94.44%      61.9
  scn_triangle_tight_P5_R30_seed8    milp_job_wMK   maxTimeLim    39956.00     357.50    4206.00     0    81.98%      64.6
  scn_triangle_tight_P5_R30_seed8    milp_job_wDLY  maxTimeLim   359199.50     399.50    3588.00     0    99.98%      64.6
  scn_triangle_tight_P5_R30_seed8    milp_job_wMOV  maxTimeLim     3369.50     366.50    3003.00     0    97.86%      64.7
  scn_triangle_tight_P5_R5_seed8     milp_job_wMK   optimal        2800.00      28.00       0.00     0     0.00%       0.2
  scn_triangle_tight_P5_R5_seed8     milp_job_wDLY  optimal          28.00      28.00       0.00     0     0.00%       0.2
  scn_triangle_tight_P5_R5_seed8     milp_job_wMOV  optimal          28.00      28.00       0.00     0     0.00%       0.2
  scn_two_rows_loose_P5_R10_seed8    milp_job_wMK   optimal        6009.50      60.00       1.50     8     0.00%       3.8
  scn_two_rows_loose_P5_R10_seed8    milp_job_wDLY  optimal          61.50      61.50       0.00     0     0.00%       2.3
  scn_two_rows_loose_P5_R10_seed8    milp_job_wMOV  optimal          61.00      60.50       0.50     0     0.00%       1.9
  scn_two_rows_loose_P5_R20_seed8    milp_job_wMK   maxTimeLim    13066.00     126.50     416.00     0    61.73%      61.4
  scn_two_rows_loose_P5_R20_seed8    milp_job_wDLY  maxTimeLim    37427.50     123.50     373.00     4    99.87%      61.4
  scn_two_rows_loose_P5_R20_seed8    milp_job_wMOV  maxTimeLim      535.50     129.50     406.00     0    90.66%      61.4
  scn_two_rows_loose_P5_R30_seed8    milp_job_wMK   maxTimeLim    30236.00     284.00    1836.00     0    76.19%      63.4
  scn_two_rows_loose_P5_R30_seed8    milp_job_wDLY  maxTimeLim   179438.50     284.50    1791.50     4    99.96%      63.4
  scn_two_rows_loose_P5_R30_seed8    milp_job_wMOV  maxTimeLim     1746.50     261.00    1485.50     0    95.88%      63.3
  scn_two_rows_loose_P5_R5_seed8     milp_job_wMK   optimal        2800.00      28.00       0.00     0     0.00%       0.1
  scn_two_rows_loose_P5_R5_seed8     milp_job_wDLY  optimal          28.00      28.00       0.00     0     0.00%       0.1
